project_id,title,description,crs_sector_name,sources,factiva_sources,location_details,GEO_codedUp,GEO_geojsonLink,GEO_sources,GEO_notes,Christian Notes,christian_geojson,level
34512,China cancels £9.6 millions of Afghanistan’s outstanding debt obligations (Linked to Project ID #34505),"In March 2004, the Chinese Government agreed to cancel 9.6 million British pounds (or approximately $18.8 million) of the Government of Afghanistan's outstanding debt obligations. These debt obligations were originally contracted by the Afghan government in 1965. 

This act of debt forgiveness likely covered the bulk of the Government of Afghanistan’s outstanding debt obligations to China from 2002 to 2010, which were worth $19.5 million. 

STAFF_NOTE: This project may be linked to Project ID#34505, which captures a 2002 commitment by the Chinese Government to write off all of Afghanistan's outstanding debt obligations.
",Action Relating to Debt,"https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=BBCAPP0020040327e03r003h1&cat=a&ep=ASE, Media Report, including Wikileaks; https://books.google.com.sg/books?id=Zoouvv_4QfUC&pg=PA146&lpg=PA146&dq=china+cancels+afghanistan+debt+2002&source=bl&ots=kuU25l9kG-&sig=l1ltiTJT1S6CH96SVkHIwjk_W8w&hl=en&sa=X&ved=0CCIQ6AEwAWoVChMI6dyooOCVxgIVk3u8Ch38KwAx#v=onepage&q=china%20cancels%20afghanistan%20debt%202002&f=false, Other Academic (Working Paper, Dissertation); http://csis.org/files/publication/120322_Zhao_ChinaAfghan_web.pdf, NGO/Civil Society/Advocacy; http://www.gov.cn/misc/2010-07/21/content_1659816.htm, Government Source (Donor/Recipient); http://af.mofcom.gov.cn/article/zxhz/201501/20150100879514.shtml, Government Source (Donor/Recipient); https://www.fmprc.gov.cn/chn//gxh/cgb/zcgmzysx/yz/1206/1206x1/t356107.htm, Government Source (Donor/Recipient); http://sao.gov.af/Content/files/Qatia%20Audit%20Report%201392_English%20Final.pdf, Government Source (Donor/Recipient); http://outlookafghanistan.net/topics.php?post_id=14736, Media Report, including Wikileaks; http://old.sao.gov.af/Content/files/QATIA%20Statement-%20SY%201393%20final.pdf, Government Source (Donor/Recipient); http://www.artf.af/images/uploads/Budget-statement-for1388.pdf, Government Source (Donor/Recipient); http://www.chinadaily.com.cn/english/doc/2004-03/28/content_318619.htm , Media Report, including Wikileaks; https://web.archive.org/web/20100824083819/news.xinhuanet.com/world/2010-08/22/c_12471641.htm , Media Report, including Wikileaks; http://sanfrancisco.chineseconsulate.org/chn/zhuanti/twwt/dtxw/t82192.htm , Government Source (Donor/Recipient); http://en.people.cn/200403/28/eng20040328_138695.shtml , Media Report, including Wikileaks","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=BBCAPP0020040327e03r003h1&cat=a&ep=ASE, Media Report, including Wikileaks",NA,country_level,,,"This project is coded up to country level since there is no specific location that received aid, but the country itself benefitted from reducing debt",good code up,,country
34722,"China opens Confucius Institute in Kabul University, Afghanistan","In January 2008, an agreement was signed between China and Afghanistan for the establishment of a Confucius Institute at Kabul University. This project is funded by Hanban, a government organization that partners universities around the world with Chinese educational institutions to establish Confucius Institutes for the study of Chinese language and culture. The Chinese university involved with this project is Taiyuan University of Technology. On 7 April 2013 China reopened the Confucius Institute at Kabul University after it had been closed for 18 months due to instability in Afghanistan. The institute now offers Mandarin classes to around 100 Afghan beginners. There are one teacher from China and two Chinese instructors teaching mandarin at elementary levels.",Education,"https://global.factiva.com/redir/default.aspx?P=sa&an=PRTRIN0020130408e948004v2&cat=a&ep=ASE, Media Report, including Wikileaks; http://ci-ku.af.chinesecio.com/zh-hans/node/122, Government Source (Donor/Recipient); http://ci-ku.af.chinesecio.com/, Government Source (Donor/Recipient); http://english.hanban.org/node_10653.htm, Government Source (Donor/Recipient); http://usa.chinadaily.com.cn/life/2013-04/08/content_16382553.htm, Media Report, including Wikileaks; http://af.mofcom.gov.cn/article/zxhz/201501/20150100879514.shtml, Government Source (Donor/Recipient); http://af.china-embassy.org/chn/zagx/ztgk/t1097559.htm, Government Source (Donor/Recipient); https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=BBCSAP0020080110e41a00335&cat=a&ep=ASE, Media Report, including Wikileaks; http://af.china-embassy.org/eng/sgxw/t1278545.htm, Government Source (Donor/Recipient); http://www.xinhuanet.com//english/2017-05/01/c_136248718_3.htm, Media Report, including Wikileaks; http://ku.edu.af/Content/files/Confucius%20Institute_%20A%20Center%20of%20Friendship%20%26%20Learning%20for%20China%20%26%20Afghanistan%20Lais%20Draft(5).pdf, Government Source (Donor/Recipient)","https://global.factiva.com/redir/default.aspx?P=sa&an=PRTRIN0020130408e948004v2&cat=a&ep=ASE, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=BBCSAP0020080110e41a00335&cat=a&ep=ASE, Media Report, including Wikileaks",Kabul,no,https://gist.github.com/abgaddi/243604d65adb878ff37d676a926c9659,"https://www.google.com/maps/place/Kabul+University/@34.5173801,69.1337345,17z/data=!3m1!4b1!4m5!3m4!1s0x38d16f2c550c3f59:0xa47b5d537e5b7214!8m2!3d34.5173801!4d69.1359232 ","Kabul city division is coded for this project since Kabul University, where the confucious school was established, is located in Kabul. the location of the university can be found by searching the name into google maps",good,https://gist.github.com/abgaddi/243604d65adb878ff37d676a926c9659,district
53739,China provides Afghanistan Official Equipment,"On October 8, 2012, the signing ceremony of Chinese office equipment donation to Afghanistan was held in Afghanistan Ministry of Foreign Affairs. The value or the detailed content of the grant is not specified.  According to Mahmud, the third Chief Secretary for Politics of Afghans Ministry of Foreign Affairs (外交部第三政治司司长马赫穆德), this grant will significantly improve Afghans government working conditions and improve efficiency. 

This project is not the duplicate of #53740, as the items handed over are landscaping supplies, not office supplies, or #37898, as the signing dates are different.",Government and Civil Society,"http://af.china-embassy.org/chn/zagx/sbwl/t977239.htm, Government Source (Donor/Recipient)",NA,NA,country_level,,,"This project is coded up to country level since there was no specific location found where the office equipment was donated to. According to the source, the supplies will ""greatly improve the office conditions of relevant departments of the Afghan government, improve office efficiency, improve the administrative image, and effectively promote the process of peace and reconstruction in Afghanistan""",good code up,,country
34642,150 million RMB to Afghanistan Ministry of Finance,"On 8 June 2012, at the annual summit of the Shanghai Cooperation Organization (SCO), China announced its plan to provide 150 million Chinese Yuan in grant to the Afghan Ministry of Finance. Based on an interview with Chinese Deputy Foreign Minister Fu Yings, this was the second 150 million CNY-grant that was offered by China. The agreement to provide the first 150 million CNY worth of grant was signed on 31 December 2011 (See Project ID#34601). Minister Fu Yings also said that China and Afghanistan would identify projects that could use the grant. A Joint Declaration between The People's Republic of China and The Islamic Republic of Afghanistan on Establishing Strategic and Cooperative Partnership was then released on June 16 2012 which stated that both sides will 'continually strengthen the pragmatic cooperation in such fields as resources and energy development, infrastructure development, engineering and agriculture'. It was also suggested that the grant will be going to 'peaceful reconstruction process'. STAFF_NOTE: This project was initially coded as being a duplicate of ID #34601, however, according to information published on the website of China's ECCO in Kabul, 150 million CNY assistance packages were pledged consecutively in 2011 and 2012. Furthermore, it was mentioned in the CSIS report that China's grant to Afghanistan from 2002 to 2010 is about US$205.3 million while the report by the 'Diplomat' has mentioned that the total amount of grant from 2002 to 2011 is about US$250 million. The reports show that there is at least 150 million CNY that was provided to Afghanistan in 2011, and the 150 million CNY that was offer in 2012 is referring to a separate pledge made by China. Last, the article by Reuters suggest that China's offer of 150 million CNY was part of the strategic partnership agreement signed in 2012, thus further distinguishing this offer of 150 million CNY in aid in 2012 from the one made in 2011.",Unallocated / Unspecified,"https://global-factiva-com.libproxy1.nus.edu.sg/redir/default.aspx?P=sa&an=BAKHNA0020120925e89o00002&cat=a&ep=ASE, Media Report, including Wikileaks; http://af.mofcom.gov.cn/article/zxhz/201501/20150100879514.shtml, Government Source (Donor/Recipient); http://mfa.gov.af/en/news/10504, Government Source (Donor/Recipient); http://muse.jhu.edu.libproxy1.nus.edu.sg/journals/asia_policy/v017/17.huasheng.pdf, Academic Journal Article; http://outlookafghanistan.net/national_detail.php?post_id=4589, Media Report, including Wikileaks; http://csis.org/files/publication/120322_Zhao_ChinaAfghan_web.pdf, NGO/Civil Society/Advocacy; http://www.reuters.com/article/2012/06/08/us-china-afghanistan-idUSBRE85705120120608, Media Report, including Wikileaks; http://thediplomat.com/2012/08/why-china-should-do-more-in-afghanistan/, Media Report, including Wikileaks; http://journals.rienner.com.libproxy1.nus.edu.sg/doi/pdf/10.5555/0258-9184-38.4.497, Academic Journal Article; http://www.bwchinese.com/article/1029353.html, Media Report, including Wikileaks; http://www.bbc.com/zhongwen/simp/chinese_news/2012/06/120608_china_aid_afhan.shtml, Media Report, including Wikileaks; http://www.chinanews.com/gn/2012/06-08/3948964.shtml, Media Report, including Wikileaks; http://article.wn.com/view/WNAT39e8568ded92d553e5b8a7444dd60d74/, Media Report, including Wikileaks; http://finance.jrj.com.cn/2012/06/08115313410504.shtml, Media Report, including Wikileaks; http://af.mofcom.gov.cn/article/zxhz/201501/20150100879514.shtml, Government Source (Donor/Recipient)","https://global-factiva-com.libproxy1.nus.edu.sg/redir/default.aspx?P=sa&an=BAKHNA0020120925e89o00002&cat=a&ep=ASE, Media Report, including Wikileaks",NA,country_level,,,"This project is coded up to country level since according to the project description, the grant is going towards multiple other projects within Afghanistan",good code up,,country
34585,"China donates $250,000 worth of humanitarian items to Afghanistan","In June, 2010 China donated $250,000 worth of humanitarian goods to IDPs and repatriated refugees in Jawzjan Province. The donated goods included food, blankets, tents and other utilities.",Emergency Response,"https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks; http://reliefweb.int/report/afghanistan/afghanistan-aid-distributed-among-families-jawzjan, Media Report, including Wikileaks","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks",Jawzjan Province,no,https://gist.github.com/abgaddi/6fbd6b24ce4d86c0e9497cd289ba487b,"https://www.google.com/maps/place/Jowzjan,+Afghanistan/@36.6814109,65.288939,8z/data=!4m5!3m4!1s0x3f342cf8b43576cb:0xc8d36502bbdd72b4!8m2!3d36.8969692!4d65.6658568, https://president.gov.af/en/jawzjan/#:~:text=Jawzjan%20Province%20has%2010%20districts,Aqa%2C%20Darzab%20and%20Qosh%20Tapa., https://en.wikipedia.org/wiki/Category:Districts_of_Jowzjan_Province, https://afghanag.ucdavis.edu/country-info/province/files/profile-Jawzjan.pdf","Khamyab, Qarqin, Khwaja Du Koh, Mingajik, Mardyan, Shibirghan, Aqcha, Fayz abad, and Darzab Divisions are all coded for this project.  Jawzjan province is the area that received donation of goods and all these districts are within this province.  The districts were founded by cross listing between GADM boundaries, Afghanistan's government website, Wikipedia, and the last geo source pg. 17 because there were slight name changes in each source. (Khamyab)",good,https://gist.github.com/abgaddi/6fbd6b24ce4d86c0e9497cd289ba487b,district
34585,"China donates $250,000 worth of humanitarian items to Afghanistan","In June, 2010 China donated $250,000 worth of humanitarian goods to IDPs and repatriated refugees in Jawzjan Province. The donated goods included food, blankets, tents and other utilities.",Emergency Response,"https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks; http://reliefweb.int/report/afghanistan/afghanistan-aid-distributed-among-families-jawzjan, Media Report, including Wikileaks","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks",Jawzjan Province,no,https://gist.github.com/abgaddi/866ae8eee08bb939f44fcb23b024e245,"https://www.google.com/maps/place/Jowzjan,+Afghanistan/@36.6814109,65.288939,8z/data=!4m5!3m4!1s0x3f342cf8b43576cb:0xc8d36502bbdd72b4!8m2!3d36.8969692!4d65.6658568, https://president.gov.af/en/jawzjan/#:~:text=Jawzjan%20Province%20has%2010%20districts,Aqa%2C%20Darzab%20and%20Qosh%20Tapa., https://en.wikipedia.org/wiki/Category:Districts_of_Jowzjan_Province, https://afghanag.ucdavis.edu/country-info/province/files/profile-Jawzjan.pdf","Khamyab, Qarqin, Khwaja Du Koh, Mingajik, Mardyan, Shibirghan, Aqcha, Fayz abad, and Darzab Divisions are all coded for this project.  Jawzjan province is the area that received donation of goods and all these districts are within this province.  The districts were founded by cross listing between GADM boundaries, Afghanistan's government website, Wikipedia, and the last geo source pg. 17 because there were slight name changes in each source. (Qarqin)",good,https://gist.github.com/abgaddi/866ae8eee08bb939f44fcb23b024e245,district
34585,"China donates $250,000 worth of humanitarian items to Afghanistan","In June, 2010 China donated $250,000 worth of humanitarian goods to IDPs and repatriated refugees in Jawzjan Province. The donated goods included food, blankets, tents and other utilities.",Emergency Response,"https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks; http://reliefweb.int/report/afghanistan/afghanistan-aid-distributed-among-families-jawzjan, Media Report, including Wikileaks","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks",Jawzjan Province,no,https://gist.github.com/abgaddi/ca2f08e0340f8194ab5d196270998d0f,"https://www.google.com/maps/place/Jowzjan,+Afghanistan/@36.6814109,65.288939,8z/data=!4m5!3m4!1s0x3f342cf8b43576cb:0xc8d36502bbdd72b4!8m2!3d36.8969692!4d65.6658568, https://president.gov.af/en/jawzjan/#:~:text=Jawzjan%20Province%20has%2010%20districts,Aqa%2C%20Darzab%20and%20Qosh%20Tapa., https://en.wikipedia.org/wiki/Category:Districts_of_Jowzjan_Province, https://afghanag.ucdavis.edu/country-info/province/files/profile-Jawzjan.pdf","Khamyab, Qarqin, Khwaja Du Koh, Mingajik, Mardyan, Shibirghan, Aqcha, Fayz abad, and Darzab Divisions are all coded for this project.  Jawzjan province is the area that received donation of goods and all these districts are within this province.  The districts were founded by cross listing between GADM boundaries, Afghanistan's government website, Wikipedia, and the last geo source pg. 17 because there were slight name changes in each source. (Khwaja Du Koh)",good,https://gist.github.com/abgaddi/ca2f08e0340f8194ab5d196270998d0f,district
34585,"China donates $250,000 worth of humanitarian items to Afghanistan","In June, 2010 China donated $250,000 worth of humanitarian goods to IDPs and repatriated refugees in Jawzjan Province. The donated goods included food, blankets, tents and other utilities.",Emergency Response,"https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks; http://reliefweb.int/report/afghanistan/afghanistan-aid-distributed-among-families-jawzjan, Media Report, including Wikileaks","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks",Jawzjan Province,no,https://gist.github.com/abgaddi/ef2d04cc84e9c2fcb53cb5e2782538dd,"https://www.google.com/maps/place/Jowzjan,+Afghanistan/@36.6814109,65.288939,8z/data=!4m5!3m4!1s0x3f342cf8b43576cb:0xc8d36502bbdd72b4!8m2!3d36.8969692!4d65.6658568, https://president.gov.af/en/jawzjan/#:~:text=Jawzjan%20Province%20has%2010%20districts,Aqa%2C%20Darzab%20and%20Qosh%20Tapa., https://en.wikipedia.org/wiki/Category:Districts_of_Jowzjan_Province, https://afghanag.ucdavis.edu/country-info/province/files/profile-Jawzjan.pdf","Khamyab, Qarqin, Khwaja Du Koh, Mingajik, Mardyan, Shibirghan, Aqcha, Fayz abad, and Darzab Divisions are all coded for this project.  Jawzjan province is the area that received donation of goods and all these districts are within this province.  The districts were founded by cross listing between GADM boundaries, Afghanistan's government website, Wikipedia, and the last geo source pg. 17 because there were slight name changes in each source. (Mingajik)",good,https://gist.github.com/abgaddi/ef2d04cc84e9c2fcb53cb5e2782538dd,district
34585,"China donates $250,000 worth of humanitarian items to Afghanistan","In June, 2010 China donated $250,000 worth of humanitarian goods to IDPs and repatriated refugees in Jawzjan Province. The donated goods included food, blankets, tents and other utilities.",Emergency Response,"https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks; http://reliefweb.int/report/afghanistan/afghanistan-aid-distributed-among-families-jawzjan, Media Report, including Wikileaks","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks",Jawzjan Province,no,https://gist.github.com/abgaddi/81d77e19712145c9ff8bf077cce3b7de,"https://www.google.com/maps/place/Jowzjan,+Afghanistan/@36.6814109,65.288939,8z/data=!4m5!3m4!1s0x3f342cf8b43576cb:0xc8d36502bbdd72b4!8m2!3d36.8969692!4d65.6658568, https://president.gov.af/en/jawzjan/#:~:text=Jawzjan%20Province%20has%2010%20districts,Aqa%2C%20Darzab%20and%20Qosh%20Tapa., https://en.wikipedia.org/wiki/Category:Districts_of_Jowzjan_Province, https://afghanag.ucdavis.edu/country-info/province/files/profile-Jawzjan.pdf","Khamyab, Qarqin, Khwaja Du Koh, Mingajik, Mardyan, Shibirghan, Aqcha, Fayz abad, and Darzab Divisions are all coded for this project.  Jawzjan province is the area that received donation of goods and all these districts are within this province.  The districts were founded by cross listing between GADM boundaries, Afghanistan's government website, Wikipedia, and the last geo source pg. 17 because there were slight name changes in each source. (Mardyan)",good,https://gist.github.com/abgaddi/81d77e19712145c9ff8bf077cce3b7de,district
34585,"China donates $250,000 worth of humanitarian items to Afghanistan","In June, 2010 China donated $250,000 worth of humanitarian goods to IDPs and repatriated refugees in Jawzjan Province. The donated goods included food, blankets, tents and other utilities.",Emergency Response,"https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks; http://reliefweb.int/report/afghanistan/afghanistan-aid-distributed-among-families-jawzjan, Media Report, including Wikileaks","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=ATAFGH0020100629e66t00002&cat=a&ep=ASE, Media Report, including Wikileaks",Jawzjan Province,no,https://gist.github.com/abgaddi/8e2477e36c99f0a0af5a58c062d42ec3,"https://www.google.com/maps/place/Jowzjan,+Afghanistan/@36.6814109,65.288939,8z/data=!4m5!3m4!1s0x3f342cf8b43576cb:0xc8d36502bbdd72b4!8m2!3d36.8969692!4d65.6658568, https://president.gov.af/en/jawzjan/#:~:text=Jawzjan%20Province%20has%2010%20districts,Aqa%2C%20Darzab%20and%20Qosh%20Tapa., https://en.wikipedia.org/wiki/Category:Districts_of_Jowzjan_Province, https://afghanag.ucdavis.edu/country-info/province/files/profile-Jawzjan.pdf","Khamyab, Qarqin, Khwaja Du Koh, Mingajik, Mardyan, Shibirghan, Aqcha, Fayz abad, and Darzab Divisions are all coded for this project.  Jawzjan province is the area that received donation of goods and all these districts are within this province.  The districts were founded by cross listing between GADM boundaries, Afghanistan's government website, Wikipedia, and the last geo source pg. 17 because there were slight name changes in each source. (Shibirghan)",good,https://gist.github.com/abgaddi/8e2477e36c99f0a0af5a58c062d42ec3,district
