"project_id","title","description","crs_sector_name","sources","factiva_sources","location_details","GEO_codedUp","GEO_geojsonLink","GEO_sources","GEO_notes"
34407,"Chinese embassy donates office equipment to Bangladesh","In 2013, the Chinese embassy donated office equipment to Impact Foundation Bangladesh, a voluntary organization. The handover occurred between Chinese ambassador Li Jun and acting director of Impact Foundation Bangladesh, Pradip Sengupta.","Health","https://global-factiva-com.proxy.wm.edu/aa/?ref=FNEXBD0020131113e9bb0015u&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.nsnewswire.com/2013/11/10/china-donates-computers-to-impact-foundation-bangladesh/, Media Report, including Wikileaks; http://bdnews24.com/bangladesh/2013/11/10/chinese-embassy-aid-for-impact-foundation, Media Report, including Wikileaks","https://global-factiva-com.proxy.wm.edu/aa/?ref=FNEXBD0020131113e9bb0015u&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",NA,"","","",""
33960,"50 scholarships for Bangladeshi students under MoU on cultural exchange","In 2002, Bangladesh and Chinese governments on Thursday signed an executive program for cultural exchanges between the two countries for the years of 2001 to 2003.This is an implementation program of the Agreement of Cooperation on Culture between Bangladesh and China, which was signed in November 1979. It was renewed in 2003 - the Executive Program on Cultural Agreement between Bangladesh and China. This was later extended again from 2004-2008 and then again from 2009-2012. According to the executive program, the two countries will exchange visits of performing art groups and delegations of cultural officials, artists. The two sides will also encourage exchanges and cooperation in the fields of culture, press and publication, education and sports. Besides, the Chinese government will offer scholarships for 50 Bangladesh undergraduate and postgraduate students annually, compared with 40 in previous executive program.","Education","http://www.mofa.gov.bd/List.pdf, Government Source (Donor/Recipient); http://bd2.mofcom.gov.cn/article/bilateralcooperation/inbrief/200411/20041100003924.shtml, Government Source (Donor/Recipient); http://bd2.mofcom.gov.cn/article/bilateralcooperation/inbrief/200705/20070504675608.shtml, Government Source (Donor/Recipient); http://cultureeduchina.blogspot.sg/2008/12/bangladesh-china-sign-executive-program.html, Social Media, including Unofficial Blogs; http://culture.chinesecio.com/en/article/2009-09/02/content_39974.htm, Media Report, including Wikileaks",NA,NA,"","","",""
33940,"Chinese Government forgives RMB 11.099 million of debt related to related to Bangabandhu International Convention Centre Construction Project (Linked to Project ID#33925)","In 2000, the Government of Bangladesh and the Chinese Government signed an RMB 100 million interest-free loan agreement for the China-Bangladesh Friendship Conference Center Construction Project. The total cost of the project was 2 billion taka. The multi-purpose conference center was designed by the Beijing Institute of Architectural Design and included a construction area of 19,926 square meters. Construction began in 2000 and was completed in July 2001. The project was formally handed over to the Government of Bangladesh on January 12, 2002. Then, in 2002, the Chinese Government converted a portion of the loan (RMB 11.099 million) for this project into a grant. The remaining RMB 88.901 million had been repaid as of 2017.  The China-Bangladesh Friendship Conference Center was renamed Bangabandhu International Convention Centre (Bangla translation: বঙ্গবন্ধু আন্তর্জাতিক সম্মেলন কেন্দ্র) in 2009.  Project ID#33925 captures the interest-free loan that supported the project, while this project captures the “grant” (debt forgiveness) that supported the project. The Bangabandhu International Convention Centre is located in Dhaka on Begum Rokeya Ave. Its exact locational coordinates are available at https://www.google.com/maps/place/Bangabandhu+International+Conference+Center/@23.7692139,90.3793891,17z/data=!3m1!4b1!4m5!3m4!1s0x3755c75125f8e4f7:0xf7b9edc3b8747c3a!8m2!3d23.769209!4d90.3815778.STAFF_NOTE: The Chinese Government pledged to renovate this convention center in July 2016.","Action Relating to Debt","https://global.factiva.com/aa/?ref=afpr000020020112dy1c007ka&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=bbcsap0020021223dycn000gp&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=chndly0020020121dy1j000b6&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=bbcsap0020021229dyct000rt&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=unibag0020020807dy860006k&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.china.org.cn/english/2005/SouthasiaTour/124988.htm, Government Source (Donor/Recipient); http://archive.thedailystar.net/newDesign/print_news.php?nid=119375, Media Report, including Wikileaks; http://www.mofa.gov.bd/List.pdf, Government Source (Donor/Recipient); http://archive.thedailystar.net/newDesign/print_news.php?nid=119375, Media Report, including Wikileaks; https://img.imsilkroad.com/a/10001/201805/1526867078710.pdf, Government Source (Donor/Recipient); http://biccbd.com/ , Government Source (Donor/Recipient); https://www.google.com/maps/place/Bangabandhu+International+Conference+Center/@23.7692139,90.3793891,17z/data=!3m1!4b1!4m5!3m4!1s0x3755c75125f8e4f7:0xf7b9edc3b8747c3a!8m2!3d23.769209!4d90.3815778, Other; https://www.thedailystar.net/city/bangabandhu-conference-centre-get-new-look-1249846, Media Report, including Wikileaks; https://en.wikipedia.org/wiki/Bangabandhu_International_Conference_Center , Other; https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%81_%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%95_%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A7%87%E0%A6%B2%E0%A6%A8_%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0, Other","https://global.factiva.com/aa/?ref=afpr000020020112dy1c007ka&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=bbcsap0020021223dycn000gp&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=chndly0020020121dy1j000b6&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=bbcsap0020021229dyct000rt&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=unibag0020020807dy860006k&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","The Bangabandhu International Convention Centre is located in Dhaka on Begum Rokeya Ave.","","","",""
34297,"China donates US$100,000 to Bangladesh for flood rehabilitation (Linked to Project ID #34298)","A Chinese delegation presented the Food and Disaster Management minister, Chowdhury Kamal Ibne Yousuf, a cheque for 100,000 US dollars. They also agreed to donate corrugated iron sheets worth Tk 6 crore to help with flood relief.","Emergency Response","https://global.factiva.com/aa/?ref=BBCSAP0020040812e08c000b5&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020040812e08b0000j&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020040810e0890001a&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; http://bd2.mofcom.gov.cn/article/bilateralcooperation/inbrief/200705/20070504675608.shtml, Government Source (Donor/Recipient); http://www.epochtimes.com/gb/4/8/10/n622494.htm, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=BBCSAP0020040812e08c000b5&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020040812e08b0000j&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020040810e0890001a&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks",NA,"","","",""
69388,"China provides a grant for the provision of simultaneous translation equipment to International Convention Centre Construction (Linked to Project ID#33925, #33940)","In 2016, China gave a grant for the provision of simultaneous translation equipment to Bangabandhu International Convention Centre Construction, a Chinese government aided construction project in Dhaka, Bangladesh. Additionally, the grant was used to repair the large conference hall, repair the roof waterproofing, and increase the Chinese government's permanent aid sign and technical training for inspection and acceptance. China Construction Consulting Company implemented the changes. The project was completed on November 11, 2016. This project is linked to project #33925, which captures the $100 RMB interest-free loan granted by the Chinese government to build Bangabandhu International Convention Centre and to project #33940, in which the Chinese government forgave RMB 11.099 million of debt related to the project.STAFF_NOTE: The Chinese project title is 援孟加拉国国际会议中心同传设备项目.","Other Social infrastructure and services","http://bcecc.cscec.com/ywsl65/ywly65/hwxm65/201707/2645216.html, Implementing/Intermediary Agency Source; http://ccdg.cscec.com/zgzjsjjtyxgs/xwzx22/gskx22/201611/2782389.html, Implementing/Intermediary Agency Source; https://www.banglanews24.com/national/article/57122/China-envoy-glad-working-with-Bangladesh, Social Media, including Unofficial Blogs; http://ccdg.cscec.com/zgzjsjjtyxgs/xwzx22/gskx22/201611/2782389.html , Implementing/Intermediary Agency Source",NA,NA,"","","",""
54421,"Chinese Agricultural Experts Assist Bangladesh Agriculturalists","In 2017, Chinese Ambassador to Bangladesh Ma Mingqiang noted that eight Chinese agricultural experts were in Bangladesh. The experts were working with Bangladeshi farmers with the cultivation of hybrid rice. It is unclear which organization these experts came from. STAFF_NOTE: This project assumes that the consultants were sent by the Chinese government and that Bangladesh did not pay for their services.","Agriculture, Forestry and Fishing","https://global.factiva.com/redir/default.aspx?P=sa&an=XNEWS00020170425ed4p007y5&cat=a&ep=ASE, Media Report, including Wikileaks","https://global.factiva.com/redir/default.aspx?P=sa&an=XNEWS00020170425ed4p007y5&cat=a&ep=ASE, Media Report, including Wikileaks",NA,"","","",""
34433,"Chinese EXIM Bank provides 1.2 billion RMB worth of Export Credits to Bangladesh to Purchase 6 Oil Ships(linked to #52873)","On November 14, 2016 the signed a deal with the Bangladesh Shipping Corporation to provide 1,200,000,000 RMB of Export Credits for the purchase of 6 ships from the China National Machinery Import and Export Corporation. The export credits have a 2% interest rate, 5 year grace period, and 20 year maturity. The 3 new bulk oil tankers and 3 oil carriers are being built by the Yangzijiang Shipbuilding Co, and are expected to be delivered in 2018 to join the BSC's existing fleet of 8 ships. According to the 2016 ODA Report from the Economic Relations Division of Bangladesh, only 180m RMB of the total committed amount has been dispersed. STAFF_NOTE: CRS Sector 32262","Industry, Mining, Construction","http://www.newstoday.com.bd/index.php?option=details&news_id=2404791&date=2015-03-05, Media Report, including Wikileaks; http://www.thedailystar.net/data-centre-purchase-of-ships-get-green-light-61804, Media Report, including Wikileaks; https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/b09c0301_8d15_49e1_8af9_3231f08b8ad8/Tbl-3.12.pdf, Government Source (Donor/Recipient); https://global.factiva.com/redir/default.aspx?P=sa&an=JPSTEN0020160927ec9j000gw&cat=a&ep=ASE, Media Report, including Wikileaks; https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/b09c0301_8d15_49e1_8af9_3231f08b8ad8/Tbl-7.3.pdf, Government Source (Donor/Recipient); https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/b4e54c5e_8c4b_4df5_b6cc_84ade7365591/6.1%20%281%29.pdf, Government Source (Donor/Recipient); https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/b4e54c5e_8c4b_4df5_b6cc_84ade7365591/6.12.8_As, Government Source (Donor/Recipient); http://bd.mofcom.gov.cn/article/jmxw/201705/20170502577084.shtml, Government Source (Donor/Recipient); http://bd.mofcom.gov.cn/article/jmxw/201607/20160701361505.shtml, Government Source (Donor/Recipient); https://global.factiva.com/du/article.aspx/?accessionno=NNATBD0020161024ecao000b5&fcpil=en&napc=S&sa_from=&cat=a, Media Report, including Wikileaks; https://global.factiva.com/du/article.aspx/?accessionno=FNEXBD0020161003eca30003g&fcpil=en&napc=S&sa_from=&cat=a, Media Report, including Wikileaks; https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/b4e54c5e_8c4b_4df5_b6cc_84ade7365591/6.1%20%281%29.pdf, Government Source (Donor/Recipient); https://books.google.com/books?id=lWJ5DwAAQBAJ&pg=PA251&lpg=PA251&dq=%22bank+of+china%22+Dhaka-Sylhet+Road&source=bl&ots=WxdbUbaqRi&sig=5EqDITzFiDFsg7SxIiC6MdR8lDE&hl=en&sa=X&ved=2ahUKEwiR-MPkh7nfAhWPJnwKHWiuBUMQ6AEwB3oECAcQAQ#v=onepage&q=%22bank%20of%20china%22%20Dhaka-Sylhet%20Road&f=false, Other Academic (Working Paper, Dissertation)","https://global.factiva.com/redir/default.aspx?P=sa&an=JPSTEN0020160927ec9j000gw&cat=a&ep=ASE, Media Report, including Wikileaks; https://global.factiva.com/du/article.aspx/?accessionno=NNATBD0020161024ecao000b5&fcpil=en&napc=S&sa_from=&cat=a, Media Report, including Wikileaks; https://global.factiva.com/du/article.aspx/?accessionno=FNEXBD0020161003eca30003g&fcpil=en&napc=S&sa_from=&cat=a, Media Report, including Wikileaks",NA,"","","",""
35301,"China trains Bangladeshi satellite receiver operators (linked to #34057)","In 2006, China Space Administration presented the Chinese-made Fengyun series of high-quality meteorological satellites and its services to Bangladesh and six other Asian Pacific countries for use in 'meteorological research, disaster mitigation, economic growth and prosperity.' The system receives real-time data from Chinese and international meteorological satellites and broadcasts the information to the countries. China and the seven countries signed a convention on space co-operation in October 2007 as the precursor to establishing the Asia-Pacific Space Co-operation Organization (APSCO) in Beijing, an inter-governmental organization to facilitate international alliances for the peaceful use of space. China ran training courses for staff from the APSCO member states to help them use the system and to realize the co-operation proposed by the convention. Specific details on the training are unavailable. This project is linked to #34057.","Government and Civil Society","https://global.factiva.com/aa/?ref=CHNDLY0020060325e23p00008&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.gov.cn/misc/2006-03/25/content_236443.htm, Government Source (Donor/Recipient); http://www.spacedaily.com/reports/Turkey_Signs_Up_For_Asia_Pacific_Space_Program.html, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=CHNDLY0020060325e23p00008&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",NA,"","","",""
34099,"China opens Narandi China Friendship Center in Bangladesh","The Chinese government donated the Narandi China Friendship Center, a cultural center based in the Northern Bangladeshi village, Narandi. The center is designed to be a vocational center for children, complete with technology and reading resources. The cost of the center is unclear. The center includes a computer room, a library, an auditorium and an entertainment center. All of the 10 computers and some books at the center were also donated by China. On October 18, 2018, the site was visited by Chinese ambassador Zhang Zuo. A Xinhua report claims that the library will contain Chinese magazines and a collection of Chinese books including: Mao Zedong on Diplomacy, Islam in China, and China Sports. This center operates on 81 thousand square meters of land. Narandi village is 80 km north of Dhaka.","Education","https://global.factiva.com/aa/?ref=XNEWS00020070111e31200147&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://bd.chineseembassy.org/eng/xwdt/t347412.htm, Government Source (Donor/Recipient); http://bd.china-embassy.org/eng/dshd/t1605430.htm, Government Source (Donor/Recipient); https://www.amadershomoy.com/bn/2019/06/10/904241.htm, Media Report, including Wikileaks; https://archive1.ittefaq.com.bd/wholecountry/2018/10/18/175120.html, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=XNEWS00020070111e31200147&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","Narandi","","","",""
69292,"Bank of Communications lends 50 Million USD as part of a syndicated loan for the Chapainawabganj 100MW Heavy Fuel Oil (HFO) Power Project","On May 25, 2015, a $112 million loan agreement between the Bangladesh Power Development Board (BPDB), HSBC, and Bank of Communications was signed. Bank of Communications reportedly contributed a $50 million export buyer's credit to this loan syndicate. The loan reportedly has a 12-year maturity, a two-year grace period, and a sovereign guarantee from the Government of Bangladesh. The loan covers 100% of the EPC costs and comes with full ECA cover from Finnvera and Sinosure. Associated costs and expenses have been financed under an uncovered facility. Finnvera is covering a total of $46.9 million with Sinosure guaranteeing the remainder. Both guarantees effectively reinsure a 100% sovereign guarantee from the Bangladeshi government, which owns BPDB. China Export & Credit Insurance Corporation was the accountable party of the credit agreement. The proceeds of the loan are being used to finance the EPC contract and turbine procurement from Hubei Electric Power Survey and Design Institute and Wartsila Finland. The $131 million project is sponsored by Bangladesh Power Development Board (BPDB) and it involves around $47 million for 12 Wartsila 20V32 heavy fuel oil engines, with the remainder covering EPC costs generated by Hubei Electric Power Survey and Design Institute, which is building the plant under a 450-day turnkey EPC contract and is providing a two-year warranty and a four-year service and maintenance contract. Although the plant came with a relatively high generation cost (Tk21.70 per kilowatt-hour [kWh] as compared with between Tk6.0 and Tk18 per kWh for other Bangladeshi HFO plants), the project has significant political backing as it is part of Bangladesh’s Power System Master Plan 2010 and will help improve the overall electricity supply to export processing zones that have been established in the north-west of the country. Implementation of this project began in May of 2015. This power plant was successfully connected to the grid on or around April 13, 2017. Detailed locational coordinates for this power plant can be found at https://www.google.com/maps/place/Chapainawabganj+100+M.W+Peaking+Power+Plant/@24.6321421,88.3992529,17z/data=!3m1!4b1!4m5!3m4!1s0x39fbbc0a7244d0cf:0x6357334104b0e1b9!8m2!3d24.6321372!4d88.4014416.STAFF_NOTE: The Chinese project title is 孟加拉国诺瓦布甘杰重油电厂项目. One source identifies the borrower as Bangladesh Power Development Board (BPDB). However, since this project appears to have been implemented as an independent power project (IPP), it is possible that this source is incorrect and the borrower of the loan was a project company (special purpose vehicle).","Energy Generation and Supply","https://tradefinanceanalytics.com/uploads/TF%20Awards%20Pages.pdf, Other Official Source (non-Donor, non-Recipient); http://www.powerchina.cn/art/2017/8/11/art_7449_446136.html , Implementing/Intermediary Agency Source; https://www.theasset.com/awards/infrastructure-awards-country-deals, Other Official Source (non-Donor, non-Recipient); https://www.globalcapital.com/article/x0f1tckkhcd6/winning-ways-asia39s-best-capital-market-deals, Media Report, including Wikileaks; https://powerdivision.portal.gov.bd/sites/default/files/files/powerdivision.portal.gov.bd/common_document/d57293f6_540e_461f_9e2e_99969f7fd6c7/China%20GO%20PDB.pdf., Government Source (Donor/Recipient); http://www.powerhubei.com/detail.asp?ArticleID=882 , Implementing/Intermediary Agency Source; http://www.zgdlhg.com/xwzx/gjxw/2017041354099.html , Implementing/Intermediary Agency Source; http://blog.sina.com.cn/s/blog_400e37920102vzea.html , Implementing/Intermediary Agency Source; https://ep-bd.com/view/details/article/ODI1/title?q=BPDB%27s+Chapainawabganj+HFO-Fired+Power+Plant, Media Report, including Wikileaks; https://www.thedailystar.net/business/hsbc-energising-the-power-sector-1392676, Media Report, including Wikileaks",NA,"Amnura, Bangladesh","","","",""
