"project_id","title","description","crs_sector_name","sources","factiva_sources","location_details","GEO_codedUp","GEO_geojsonLink","GEO_sources","GEO_notes"
69440,"Chinese Government funds free cataract operations from Bright Journey Eye Cap and donates equipment worth MVR 3.5 million (Linked to Project ID#52444, #69381, #53776)","According to the Chinese Embassy to the Maldives, from September 6 to September 16, 2017, a Chinese medical team of 13 experts performed nearly 100 free cataract surgeries at Hulhumalé Hospital and Gan Regional Hospital in Laamu Atol as part of the Chinese-government backed Bright Journey Eye Camp. On September 11, the Chinese donated the eye camp's medical facilities to the Maldives. Many patients had been blind due to inaccessibility to medical treatment for various reasons, and because of the Chinese doctors, were able to recover their vision after treatment, according to the Embassy. According to Life of Guangzhou, the Chinese doctors also taught the local doctors how to perform the operations.According to Sun Online, the eye camp was organized by the Maldivian Health Ministry and the Chinese National Health and Family Planning Commission. The Chinese ophthalmologists were to arrive on July 31, 2017 to prepare for the camp. The doctors were to begin consulting at Hulhumalé Hospital on August 1 and at Laamu Gan Regional Hospital on August 2 and 3.For the Bright Journey eye camp in 2016, see project ID #52444. For the eye camp performed by doctors from Zhongshan Ophthalmic Center in 2020, see project ID#69381. For the China-Maldives Ophthalmology Centre, see project ID #53776. STAFF_NOTE: The actual arrival date of the medical team could not be confirmed; The exact transaction amount is not provided, but Maldives Ministry of Health reported the combined the accumulated values of the medical equipment donated by the 2015 camp (captured in project ID#52444) and the 2017 camp (captured in project ID#69440) as ""More than MVR 9.2 million."" It is known that the value of the goods donated by project ID #52444 was MVR 5.7 million. Thus, we infer that the donation for this project was worth about MVR 3.5 million, so this was recorded as the transaction amount.","Health","http://mv.chineseembassy.org/eng/sgsd/t1503356.htm, Government Source (Donor/Recipient); https://raajje.mv/69453, Media Report, including Wikileaks; https://en.sun.mv/35368, Media Report, including Wikileaks; https://en.sun.mv/44395, Media Report, including Wikileaks; https://www.miadhu.mv/article/en/8534, Social Media, including Unofficial Blogs; https://www.lifeofguangzhou.com/knowGZ/content.do?contextId=6613&frontParentCatalogId=175, Media Report, including Wikileaks; http://govt.chinadaily.com.cn/a/201709/14/WS5b782a99498e855160e8bd54.html, Media Report, including Wikileaks; http://www.eguangzhou.gov.cn/2017-09/14/c_103938.htm, Media Report, including Wikileaks; http://mv.chineseembassy.org/chn/sgsd/t1493984.htm, Government Source (Donor/Recipient); https://edition.mv/news/11667, Media Report, including Wikileaks; http://health.gov.mv/News/4312?language=GB, Government Source (Donor/Recipient); http://govt.chinadaily.com.cn/a/201709/14/WS5b782a99498e855160e8bd54.html, Media Report, including Wikileaks",NA,"Hulhumalé and Laamu Atoll","","","",""
38003,"China provides 1M RMB cash grant for Maldives Value Addition and Agriculture Research","On April 10, 2014, China's ambassador to the Maldives and the Maldives Minister of Foreign Affairs signed an agreement for cooperation on an agricultural research project on behalf of the Chinese and Maldivian governments. Maldives' Ministry of Foreign Affairs stated that under the agreement, China would give Maldives a 1 million RMB grant for its agricultural sector. On March 9, 2015, an initiation ceremony was held for the China-funded Value Addition and Agriculture Research Project in the Maldives. The research under this project would promote the diversification of the agricultural industry, further increase the agricultural output value, and reduce external dependence.","Agriculture, Forestry and Fishing","http://mv.china-embassy.org/chn/zmgx/hfyjl/t1145842.htm, Government Source (Donor/Recipient); https://foreign.gov.mv/index.php/en/mediacentre/news/1039-maldives-signs-an-agreement-on-agricultural-research-project-cooperation-with-china, Government Source (Donor/Recipient); http://mv.china-embassy.org/eng/mytz/t1146640.htm, Government Source (Donor/Recipient); http://mv.chineseembassy.org/chn/mytz/t1244056.htm, Government Source (Donor/Recipient)",NA,NA,"","","",""
34965,"China Eximbank provides 41 million MVR loan for Garbage Disposal Efficiency Project","On November 21, 2006, the Export-Import Bank of China and the Government of Maldives signed an loan agreement, worth approximately 41 million MVR, to improve the efficiency of garbage disposal in the Maldives, according to BBC Monitoring Asia Pacific. According to the United Nations Development Programme, the loan was a 'soft loan,' and the proceeds from it were to be used to purchase waste management equipment to support waste management on island, atoll and, regional levels. The final disbursement through this loan agreement took place in 2010, according to the Maldives' Government Budget Report, 2009. Annual Disbursements: - 2009: 18.2 million MVR (MTEF Estimate, Maldives' Government Budget Report 2009) - 2010: 22.8 million MVR (MTEF Estimate, Maldives' Government Budget Report 2009) STAFF_NOTE: Project status was set as completion because the loan was entirely disbursed. Loan details are unknown.","Water Supply and Sanitation","https://global.factiva.com/redir/default.aspx?P=sa&an=BBCAPP0020061123e2bn003e9&cat=a&ep=ASE, Media Report, including Wikileaks; http://www.globalislands.net/userfiles/Maldives6.pdf, Government Source (Donor/Recipient); https://www.google.com.sg/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&ved=0CDsQFjAEahUKEwjTlsDwkOfGAhXHHI4KHfZKBAk&url=http%3A%2F%2Ferc.undp.org%2Fevaluationadmin%2Fdownloaddocument.html%3Fdocid%3D1656&ei=eo-rVdPxIse5uAT2lZFI&usg=AFQjCNHKvGK_YPLsaBOMVlV1i9ahs9e3Qw&sig2=jvUPY4Qmeyhc_8fzeuCRuA&bvm=bv.98197061,d.c2E&cad=rja, Other Official Source (non-Donor, non-Recipient); http://www.finance.gov.mv/public/attachments/aYyx19xye8x8jPhqE6WeKybC6k6KKAWE172D5Xdd.pdf, Government Source (Donor/Recipient); https://www.dropbox.com/s/z9wz821gh8ab4rp/Maldvies%20Budget%20in%20Statistics%202007.pdf?dl=0, Government Source (Donor/Recipient)","https://global.factiva.com/redir/default.aspx?P=sa&an=BBCAPP0020061123e2bn003e9&cat=a&ep=ASE, Media Report, including Wikileaks",NA,"","","",""
39150,"China donates computer systems to Foreign Service Institute of Maldives","In July 2014, the Chinese government donated computer systems to the newly established Foreign Service Institute of Maldives at the Ministry of Foreign Affairs. In the handing over ceremony, Minister of Foreign Affairs, Her Excellency Ms. Dunya Maumoon welcomed the Ambassador of People's Republic of China to the Republic of Maldives, His Excellency Mr. Wang Fukang and extended greetings and good wishes from the Government and the people of Maldives to the Government and the people of China.","Government and Civil Society","http://foreign.gov.mv/v2/en/media-center/news/article/901, Government Source (Donor/Recipient); http://mv.china-embassy.org/chn/zmgx/hfyjl/t1177197.htm, Government Source (Donor/Recipient)",NA,NA,"","","",""
34996,"China Eximbank provides RMB 481 million loan for 1,000 Unit Housing Development Project in Hulhumalé","On August 30, 2010, the Export-Import Bank of China signed an agreement to provide the Government of Maldives with RMB 481 million in export buyer's credits for the development of 1,000 housing units in Hulhumalé. The precise loan details are unknown, but sources, such as ChinaDaily USA and CMEC, described the agreement as ""preferential"" or ""concessional."" According to SinoMach, Ministry of Housing, Transportation and Environment of Maldives and China Machinery Engineering Corporation (CMEC) signed the project contract on March 21, 2011. This project involved the construction of 56 four-story buildings built on 39,600 square meters. The buildings were intended to reduce housing pressure in the nearby capital, according to ChinaDaily USA. According to CMEC's 2012 Annual Report, the contract value was 76 million USD. This project was deemed, at the time, as the largest-ever housing project in Maldives, as well as the largest economic cooperation project since the establishment of diplomatic ties between China and the Maldives. The project also served as Phase I of the 4,000-suite housing project in Maldives, according to CMEC.The groundbreaking ceremony took place on November 1, 2011, according to People's Daily Online and CMEC. According to CMEC, the project was handed on December 27, 2012, one month ahead of the schedule. The first resident moved in on July 29, 2013.As of February 2019, the China Eximbank loan was still being repaid (see ""ACTIVE EXTERNAL LOANS"").STAFF_NOTE: According to the Maldives Government Budget in Statistics Financial Year 2014, annual disbursements (in local currency MVR) from China Eximbank for this project were as follows:- 2010: 471,937,626 MVR- 2011: 93,678,432 MVRAdditionally, there is some conflicting information about the start and end dates of the project. Other sources report work before and after the code start and end dates, including a ""follow-up road project, but the coded dates were firm and came from credible sources, so they were chosen.","Other Social infrastructure and services","https://global.factiva.com/redir/default.aspx?P=sa&an=BBCAPP0020101111e6bb003bh&cat=a&ep=ASE, Media Report, including Wikileaks; https://global.factiva.com/redir/default.aspx?P=sa&an=BBCSAP0020100823e68n002ut&cat=a&ep=ASE, Media Report, including Wikileaks; http://mv.chineseembassy.org/chn/mytz/t1217991.htm, Government Source (Donor/Recipient); http://lk.china-embassy.org/chn/xwdt/t768549.htm, Government Source (Donor/Recipient); http://www.environment.gov.mv/v1/news/minister-visits-hulhumale-1000-housing-units-site/, Government Source (Donor/Recipient); http://planning.gov.mv/yearbook2015/assets/PublicFinance/13.9.pdf, Government Source (Donor/Recipient); http://mv.china-embassy.org/chn/zmgx/t1544084.htm, Government Source (Donor/Recipient); http://www.finance.gov.mv/public/attachments/OwAwaVVLSLKLVVWuqPSQ09geAPzs9NWA4MP7hva5.pdf, Government Source (Donor/Recipient); http://www.finance.gov.mv/public/attachments/dpF2ThZepRM8hECUmRDBXVA8lScpxkjvxLQjJLH2.pdf, Government Source (Donor/Recipient); http://www.finance.gov.mv/public/attachments/SzVxmS3uJtHcRPducqSjOWGcCEqIHZ8ksakt6iPK.pdf, Government Source (Donor/Recipient); http://www.finance.gov.mv/public/attachments/n4wMfZRkCh8f7L2SFDNwcOKDiEMh4Iz9i5PFi8FV.pdf, Government Source (Donor/Recipient); http://planning.gov.mv/yearbook2013/yearbook/Public%20Finance/13.6.pdf, Government Source (Donor/Recipient); http://usa.chinadaily.com.cn/china/2014-09/16/content_18609781.htm, Media Report, including Wikileaks; http://www.finance.gov.mv/public/attachments/BFdQChbFNpNL5dXAsb67yjlwEPD6FhJqwTcdtVdv.pdf, Government Source (Donor/Recipient); http://chinamachinery.todayir.com/html/bus_schedule_other.php, Implementing/Intermediary Agency Source; http://www3.hkexnews.hk/listedco/listconews/sehk/2013/0426/ltn20130426432.pdf, Implementing/Intermediary Agency Source; http://statisticsmaldives.gov.mv/yearbook/2016/wp-content/uploads/sites/2/2016/04/13.9.pdf, Government Source (Donor/Recipient); https://www.dropbox.com/s/nm3q0teukco206f/Active%20Loans%20--%20Ministry%20of%20Finance%20Maldives%20--%20February%202019.xlsx?dl=0, Government Source (Donor/Recipient); https://miadhu.mv/article/en/1046, Media Report, including Wikileaks; http://en.cmec.com/xwzx/gsxw/201307/t20130730_133244.html, Implementing/Intermediary Agency Source; http://mv.chineseembassy.org/eng/sgsd/t1544088.htm, Government Source (Donor/Recipient); http://en.people.cn/90001/90776/90883/7197252.html, Media Report, including Wikileaks; https://chinamachinery.todayir.com/html/news_project_details.php?id=135837, Implementing/Intermediary Agency Source; https://chinamachinery.todayir.com/html/news_company_details.php?id=171111, Implementing/Intermediary Agency Source; http://www.sinomach.com.cn/en/MediaCenter/News/201412/t20141209_21871.html, Media Report, including Wikileaks","https://global.factiva.com/redir/default.aspx?P=sa&an=BBCAPP0020101111e6bb003bh&cat=a&ep=ASE, Media Report, including Wikileaks; https://global.factiva.com/redir/default.aspx?P=sa&an=BBCSAP0020100823e68n002ut&cat=a&ep=ASE, Media Report, including Wikileaks","Hulhumalé","","","",""
35055,"Chinese Government provides RMB 50 million to Maldives in ETCA in 2013","On December 5, 2013, the Maldives and China Maldives signed an Agreement on Economic and Technical Cooperation between the Government of the People's Republic of China and the Government of the Republic of Maldives (ETCA). In the agreement, China agreed to provide Maldives 50 million CNY in grant aid. The aid was to be used for 'developmental projects in the Maldives.' STAFF_NOTE: It is unclear is any subsidiary projects were ever funded with the proceeds from this grant agreement.","Unallocated / Unspecified","https://global.factiva.com/redir/default.aspx?P=sa&an=TOI0000020131203e9c40000e&cat=a&ep=ASE, Media Report, including Wikileaks; https://web.archive.org/web/20170419021557/http://www.maldiveshighcommission.org/news/news-from-maldives/item/349-maldives-and-china-sign-grant-aid-agreement-of-50-million-yuan, Government Source (Donor/Recipient); http://foreign.gov.mv/v2/en/home/SearchForm?Search=%28China+or+Chinese+or+Chin*%29, Government Source (Donor/Recipient); https://www.foreign.gov.mv/index.php/en/mediacentre/news/1168-maldives-and-china-sign-grant-aid-agreement-of-50-million-yuan, Government Source (Donor/Recipient)","https://global.factiva.com/redir/default.aspx?P=sa&an=TOI0000020131203e9c40000e&cat=a&ep=ASE, Media Report, including Wikileaks",NA,"","","",""
53916,"China agrees to feasibility study for Municipal Solid Waste Treatment and Recycling in Maldives","On December 7, 2017, the Government of Maldives and the Government of China signed an exchange of letters for the Feasibility Study on the China-Aid Municipal Solid Waste Treatment and Recycling Project Between China and the Maldives, in a signing ceremony at the Great Hall of People in Beijing, witnessed by President Abdulla Yameen Abdul Gayoom and President Xi Jinping, according to the President's Office. STAFF_NOTE: The extent of China's support for this joint project is unclear. As of June 2020, it is difficult to find any additional information beyond the news of the signing of the exchanged letters.","Water Supply and Sanitation","https://foreign.gov.mv/index.php/en/mediacentre/news/4289-key-agreements-signed-between-the-maldives-and-china, Government Source (Donor/Recipient); https://twitter.com/MDVForeign/status/938787246399832064, Social Media, including Unofficial Blogs; https://www.linkedin.com/pulse/key-agreements-signed-between-maldives-china-m-waheed/, Media Report, including Wikileaks; https://presidency.gov.mv/Press/Article/18529, Government Source (Donor/Recipient)",NA,NA,"","","",""
34961,"China donates disaster relief supplies worth 7.5 million RMB to Maldives following the 2004 Indian Ocean tsunami","In the aftermath of the 2004 Indian Ocean tsunami, Beijing donated 7,500,000 RMB in relief supplies to Maldives. The first batch of the supplies was dispatched from Tianjin at 8:50 AM on Tuesday, January 5, 2005. The total package was worth 7.5 million RMB and was scheduled to arrive in Male by the evening of January 11.","Emergency Response","https://global.factiva.com/redir/default.aspx?P=sa&an=XNEWS00020050110e11a006pq&cat=a&ep=ASE, Media Report, including Wikileaks; http://en.people.cn/200501/11/eng20050111_170329.html, Media Report, including Wikileaks; https://global.factiva.com/du/article.aspx/?accessionno=BSWEEK0020050107e11700001&fcpil=en&napc=S&sa_from=&cat=a, Media Report, including Wikileaks; https://fts.unocha.org/flows/29990?destination=donors/2976/flows/2005%3Ff%255B0%255D%3DdestinationEmergencyIdName%253A%2521%26f%255B1%255D%3DdestinationEmergencyIdName%253A%2522300%253ACHINA%2520-%2520Floods%2520-%2520June%25202005%2522%26f%255B2%255D%3DdestinationEmergencyIdName%253A%2522266%253AINDIAN%2520OCEAN%2520-%2520Earthquake/Tsunami%2520-%2520December%25202004%2522%26f%255B3%255D%3DdestinationEmergencyIdName%253A%2522270%253APAKISTAN%2520-%2520Rains/Snowfall%2520-%2520February%25202005%2522%26f%255B4%255D%3DdestinationEmergencyIdName%253A%2522302%253ASOUTH%2520ASIA%2520-%2520Earthquake%2520-%2520October%25202005%2522, Other Official Source (non-Donor, non-Recipient)","https://global.factiva.com/redir/default.aspx?P=sa&an=XNEWS00020050110e11a006pq&cat=a&ep=ASE, Media Report, including Wikileaks; https://global.factiva.com/du/article.aspx/?accessionno=BSWEEK0020050107e11700001&fcpil=en&napc=S&sa_from=&cat=a, Media Report, including Wikileaks",NA,"","","",""
73784,"China donates $54,141 USD to WHO for health project management in Maldives following the 2004 Indian Ocean tsunami","According to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) Financial Tracking Service (flow ID #35260), on 4 April 2005, the Chinese government donated $54,141 USD to the World Health Organization (WHO) for health project management, evaluation, and reporting in Maldives following the 2004 Indian Ocean tsunami (UN project code is TSU-MDV-05/H07-MALDIVES). OCHA marked this contribution as fully paid. The purpose of this project was 'to continuously monitor and follow-up the health status in affected areas and take appropriate remedial measures, as necessary' (see UN doc p. 46, WHO doc p. 10).","Health","https://fts.unocha.org/flows/35260?destination=donors/2976/flows/2005%3Ff%255B0%255D%3DdestinationEmergencyIdName%253A%2521%26f%255B1%255D%3DdestinationEmergencyIdName%253A%2522300%253ACHINA%2520-%2520Floods%2520-%2520June%25202005%2522%26f%255B2%255D%3DdestinationEmergencyIdName%253A%2522266%253AINDIAN%2520OCEAN%2520-%2520Earthquake/Tsunami%2520-%2520December%25202004%2522%26f%255B3%255D%3DdestinationEmergencyIdName%253A%2522270%253APAKISTAN%2520-%2520Rains/Snowfall%2520-%2520February%25202005%2522%26f%255B4%255D%3DdestinationEmergencyIdName%253A%2522302%253ASOUTH%2520ASIA%2520-%2520Earthquake%2520-%2520October%25202005%2522%26page%3D1, Other Official Source (non-Donor, non-Recipient); https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/flash_2005_indianoceantsunami.pdf, Other Official Source (non-Donor, non-Recipient); https://www.who.int/hac/donorinfo/tsunami/tsunami_mid-term_review_summary_02may05-final.pdf?ua=1, Other Official Source (non-Donor, non-Recipient)",NA,NA,"","","",""
38713,"China donates 150 swimming boards to the Swimming Association of Maldives","On August 11, 2014, the Chinese Embassy announced its financial support for a program to teach children how to swim. Wang Fukang, Chinese Ambassador to Maldives, delivered 150 swimming boards to Swimming Association of Maldives.","Other Social infrastructure and services","http://mv.chineseembassy.org/chn/zmgx/hfyjl/t1181940.htm, Government Source (Donor/Recipient)",NA,NA,"","","",""
