"project_id","title","description","crs_sector_name","sources","factiva_sources","GEO_sources","GEO_notes","Christian.Notes","level","X","Y","name","name_type","GID","country"
40195,"China Eximbank provides $129.8 million loan for the Two Sections of Highway Rehabilitation Project (Osh-Batken-Isfana 127 km Section and Bishkek-Balykchy 25 km Section)","On December 4, 2012, China Eximbank and the Government of the Kyrgyz Republic signed a $129,825,916 preferential buyer's credit (PBC) loan agreement [CHINA EXIMBANK PBC NO. (2012) 54 TOTAL NO. (242)] for the Two Sections of Highway Rehabilitation Project. The loan carried the following terms: 20 year maturity, 2% interest, 9 year grace period, 0.25% management fee, and 0.25% commitment fee.  On April 1, 2013, Kyrgyz Parliament approved this loan agreement. 

The project sought to rehabilitate the Osh-Batken-lsfana road (specifically, a road section from 220km to 232 km and a road section from 248 km to 360 km) and the Bishkek-Balykchi road (specifically, a road section from 147 km to 172 km). More detailed locational information can be found in the source ""Kyrgyzstan and the Belt and Road Initiative."" Its goal was to significantly reduce trade barriers caused by the poor condition of the roads and help increase regional trade. China Road and Bridge Corporation was the contractor responsible for project implementation. The first loan disbursement (worth $32,456,479) took place on September 30, 2013. Construction began in July 2013.  The Bishkek-Balykchy road segment was completed on July 22, 2015. The 127 km Osh-Batken-Isfana road section was completed on November 10, 2016. The section from kilometer 271 to kilometer 360 was completed in October 2018. 

This project rehabilitated a road from Osh to Batken and lsfana (specifically, the road segment from 220km to 232 km and the road segment from 248km to 360 km) and the Bishkek-Balykchi road (specifically, the road segment from 147 km to 172 km). More locational details can be found at https://www.uca.int/Content/Downloads/UCA-IPPA-WP50_Kyrgyzstan%20and%20Belt%20Road%20Initiative_ENG.pdf.

Staff Note: The Russian name of this project is Реабилитация двух участков автодорог в КР. Balykchi is sometimes also referred to as Balykchy. CRBC reports on its website that the length of the Osh-Batken-Isfana road being rehabilitated is 123.06 km, and the length of the Bishkek-Balykchy road being rehabilitated is 23.66 km.","Transport and Storage","http://kg.mofcom.gov.cn/article/zxhz/201304/20130400075532.shtml, Government Source (Donor/Recipient); http://www.developmentcheck.org/projects/729, NGO/Civil Society/Advocacy; http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/dozys_664276/gjlb_664280/3185_664332/, Government Source (Donor/Recipient); https://www.dropbox.com/s/zrj0yfnwejus6nv/JICA%20Presenta, Other Official Source (non-Donor, non-Recipient); http://amp.gov.kg, Government Source (Donor/Recipient); http://kg.china-embassy.org/chn/dssghd/t1283949.htm, Government Source (Donor/Recipient); https://www.uca.int/Content/Downloads/UCA-IPPA-WP50_Kyrgyzstan%20and%20Belt%20Road%20Initiative_ENG.pdf, Academic Journal Article; https://www.carecprogram.org/uploads/8E_KGZ_EN_rev.pdf, Government Source (Donor/Recipient); http://kg.mofcom.gov.cn/article/zxhz/201304/20130400075532.shtml, Government Source (Donor/Recipient); http://projects.minfin.gov.kg/project?pd=44, Government Source (Donor/Recipient); https://24.kg/archive/en/community/176506-news24.html/, Media Report, including Wikileaks; http://www.china.org.cn/world/Off_the_Wire/2016-11/10/content_39679944.htm, Media Report, including Wikileaks; https://www.crbc.com/site/crbcEN/514/info/2017/46841300.html?id=570e2bf6-b830-4fd4-80d9-1c51e2336193, Implementing/Intermediary Agency Source; https://www.dropbox.com/s/62bikq8s1rxvlro/Two%20Sections%20of%20Highway%20Rehabilitation%20Project%20--%20AMP.pdf?dl=0, Government Source (Donor/Recipient); https://www.dropbox.com/s/048p18lbrvyinat/2012%20PBC%20Loan%20Agreement%20for%20the%20Two%20Sections%20of%20Highway%20Rehabilitation%20Project.pdf?dl=0, Government Source (Donor/Recipient); 'http://amp.gov.kg/aim/viewActivityPreview.do~public=true~pageId=2~activityId=2959', Government Source (Donor/Recipient); http://kg.mofcom.gov.cn/article/zxhz/201507/20150701059051.shtml , Government Source (Donor/Recipient); http://kg.chineseembassy.org/chn/dssghd/t1283949.htm, Government Source (Donor/Recipient); https://www.dropbox.com/sh/csm96s09710qee6/AAAg8HGFY65b_8vfmk5AnZgba/AMP%20Kyrgyz%20Republic%20Project%20ID%208718835227.pdf?dl=0, Government Source (Donor/Recipient)",NA,"https://reconnectingasia.csis.org/database/projects/osh-batken-isfana-road-km-220-232-248-360-rehabilitation/0f6dd169-65cb-495e-8a35-209eecddad35/","The O.B.I section of the road (127km) starts in Isfana (the Lailak district coded here) and stretches into just outside Batken (Batken district). ","good","district",69.79,39.85,"Lailak","District","KGZ.1.3_1","Kyrgyzstan"
54380,"Chinese Government provides $32 million grant for the Phase I of Agricultural Irrigation Reconstruction Project","On September 11, 2015, the Chinese Government and the Government of the Kyrgyz Republic signed an agreement providing a $32 million grant for the Phase I of Agricultural Irrigation Reconstruction Project. This grant will be used to renovate irrigation systems in Kyrgyzstan. The contractor for the project is PowerChina Huadong. Implementation of the project began on May 3, 2018, with an opening ceremony at Issyk Lake (the site of Irrigation District #3). In attendance were President Gehnbenkov, Chinese Embassy Business Counsellor Sun He.

The Irrigation System Rehabilitation Project has three main components: construction of a 16.4 km new irrigation canal and a 29.9 km extension of an existing irrigation canal in Batken district; construction of a 21.3 irrigation canal in the village of Kara-O within the Issyk-Kul region; and reconstruction of the 19km Ak-Olen canal in the Tonsky District. Power Construction Corporation of China (PowerChina) is the contractor responsible for project implementation. On May 3, 2018, project construction began. The project will reportedly put 5410 hectares of new irrigated lands into operation, increase the supply of water to ​​22100 hectares of land, and create jobs for 40,000 rural residents.

Staff Note: The Chinese project title is 援吉灌溉系统改造工程. Phase II of the Agricultural Irrigation Reconstruction Project was launched in 2019 and implemented by SinoHydro Bureau 16 CO., LTD. The total cost of Phase II is 113.8 million yuan.","Agriculture, Forestry and Fishing","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=CEASEN0020170110ed1a00105&cat=a&ep=ASE, Media Report, including Wikileaks; http://www.xinhuanet.com//english/2017-05/25/c_136314184.htm, Media Report, including Wikileaks; https://water.gov.kg/index.php?option=com_k2&view=item&id=644:prezident-sooronbaj-zheenbekov-v-issyk-kulskoj-oblasti-dal-start-realizatsii-proekta-rekonstruktsii-irrigatsionnoj-sistemy-kyrgyzskoj-respubliki&Itemid=1437&lang=ru, Government Source (Donor/Recipient); http://kabar.kg/eng/news/china-is-the-main-investor-for-kyrgyzstan/, Media Report, including Wikileaks; https://24.kg/english/83571__32_million_to_be_spent_on_reconstruction_of_irrigation_system_in_Kyrgyzstan/, Media Report, including Wikileaks; https://24.kg/english/83571__32_million_to_be_spent_on_reconstruction_of_irrigation_system_in_Kyrgyzstan/, Media Report, including Wikileaks; http://en.powerchina.cn/2018-05/04/content_36282726.htm, Government Source (Donor/Recipient); http://kg.chineseembassy.org/chn/dssghd/t1296125.htm, Government Source (Donor/Recipient); https://kabar.kg/eng/news/kyrgyzstan-launches-project-on-reconstruction-of-irrigation-system/, Other; http://www.xinhuanet.com/english/2019-06/12/c_138134977.htm, Media Report, including Wikileaks; http://kg.mofcom.gov.cn/article/zxhz/201509/20150901110629.shtml, Government Source (Donor/Recipient); http://jjhzj.mofcom.gov.cn/article/y/201805/20180502743021.shtml, Government Source (Donor/Recipient); https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676548/1206x2_676568/t1296126.shtml, Government Source (Donor/Recipient); http://www.powerchina.cn/art/2018/5/4/art_19_281328.html, Implementing/Intermediary Agency Source; https://wenhui.whb.cn/zhuzhan/huanqiu/20180505/197057.html, Media Report, including Wikileaks; http://en.powerchina.cn/2018-05/04/content_36282726.htm, Government Source (Donor/Recipient); https://www.gov.kg/ru/post/s/premer-ministr-temir-sariev-naryin-rayonundagyi-zhan-bulak-ayyilyindagyi-bala-bakchanyin-achyilyish-azemine-katyishtyi, Government Source (Donor/Recipient); http://politics.people.com.cn/n1/2019/0613/c1001-31135935-2.html, Media Report, including Wikileaks; http://mineconom.gov.kg/ru/post/4259 , Government Source (Donor/Recipient); http://www.powerchina.cn/art/2019/7/9/art_7450_602698.html , Implementing/Intermediary Agency Source; http://cbd.minjust.gov.kg/act/view/ru-ru/95390, Government Source (Donor/Recipient); https://www.water.gov.kg/index.php?option=com_k2&view=item&id=614:involvement-of-foreign-investments-in-the-construction-and-modernization-of-the-irrigation-infrastructure-of-the-kyrgyz-republic&Itemid=1466&lang=en, Government Source (Donor/Recipient); http://mineconom.gov.kg/ru/post/4003, Government Source (Donor/Recipient); http://en.kabar.kg/news/kyrgyzstan-launches-project-on-reconstruction-of-irrigation-system/, Media Report, including Wikileaks; http://www.xinhuanet.com/world/2019-06/14/c_1124623254.htm, Media Report, including Wikileaks; http://www.chinca.org/cica/info/18050709472511 , Government Source (Donor/Recipient); http://www.gov.cn/xinwen/2019-06/14/content_5400235.htm, Government Source (Donor/Recipient); http://www.mjgcj.com/art/2019/12/24/art_5197_723040.html, Implementing/Intermediary Agency Source; http://news.cctv.com/2019/06/13/ARTIW6NPZNx1Qqqwt0izFOQ8190613.shtml, Media Report, including Wikileaks; http://cn.brnn.com/n3/2019/0701/c414912-9593359.html, Media Report, including Wikileaks; http://jjhzj.mofcom.gov.cn/article/y/201805/20180502743021.shtml, Government Source (Donor/Recipient)","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=CEASEN0020170110ed1a00105&cat=a&ep=ASE, Media Report, including Wikileaks","","Coded the Batken District as it was one fo the locations given in the description","good","district",70.78,39.77,"Batken","District","KGZ.1.1_1","Kyrgyzstan"
40195,"China Eximbank provides $129.8 million loan for the Two Sections of Highway Rehabilitation Project (Osh-Batken-Isfana 127 km Section and Bishkek-Balykchy 25 km Section)","On December 4, 2012, China Eximbank and the Government of the Kyrgyz Republic signed a $129,825,916 preferential buyer's credit (PBC) loan agreement [CHINA EXIMBANK PBC NO. (2012) 54 TOTAL NO. (242)] for the Two Sections of Highway Rehabilitation Project. The loan carried the following terms: 20 year maturity, 2% interest, 9 year grace period, 0.25% management fee, and 0.25% commitment fee.  On April 1, 2013, Kyrgyz Parliament approved this loan agreement. 

The project sought to rehabilitate the Osh-Batken-lsfana road (specifically, a road section from 220km to 232 km and a road section from 248 km to 360 km) and the Bishkek-Balykchi road (specifically, a road section from 147 km to 172 km). More detailed locational information can be found in the source ""Kyrgyzstan and the Belt and Road Initiative."" Its goal was to significantly reduce trade barriers caused by the poor condition of the roads and help increase regional trade. China Road and Bridge Corporation was the contractor responsible for project implementation. The first loan disbursement (worth $32,456,479) took place on September 30, 2013. Construction began in July 2013.  The Bishkek-Balykchy road segment was completed on July 22, 2015. The 127 km Osh-Batken-Isfana road section was completed on November 10, 2016. The section from kilometer 271 to kilometer 360 was completed in October 2018. 

This project rehabilitated a road from Osh to Batken and lsfana (specifically, the road segment from 220km to 232 km and the road segment from 248km to 360 km) and the Bishkek-Balykchi road (specifically, the road segment from 147 km to 172 km). More locational details can be found at https://www.uca.int/Content/Downloads/UCA-IPPA-WP50_Kyrgyzstan%20and%20Belt%20Road%20Initiative_ENG.pdf.

Staff Note: The Russian name of this project is Реабилитация двух участков автодорог в КР. Balykchi is sometimes also referred to as Balykchy. CRBC reports on its website that the length of the Osh-Batken-Isfana road being rehabilitated is 123.06 km, and the length of the Bishkek-Balykchy road being rehabilitated is 23.66 km.","Transport and Storage","http://kg.mofcom.gov.cn/article/zxhz/201304/20130400075532.shtml, Government Source (Donor/Recipient); http://www.developmentcheck.org/projects/729, NGO/Civil Society/Advocacy; http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/dozys_664276/gjlb_664280/3185_664332/, Government Source (Donor/Recipient); https://www.dropbox.com/s/zrj0yfnwejus6nv/JICA%20Presenta, Other Official Source (non-Donor, non-Recipient); http://amp.gov.kg, Government Source (Donor/Recipient); http://kg.china-embassy.org/chn/dssghd/t1283949.htm, Government Source (Donor/Recipient); https://www.uca.int/Content/Downloads/UCA-IPPA-WP50_Kyrgyzstan%20and%20Belt%20Road%20Initiative_ENG.pdf, Academic Journal Article; https://www.carecprogram.org/uploads/8E_KGZ_EN_rev.pdf, Government Source (Donor/Recipient); http://kg.mofcom.gov.cn/article/zxhz/201304/20130400075532.shtml, Government Source (Donor/Recipient); http://projects.minfin.gov.kg/project?pd=44, Government Source (Donor/Recipient); https://24.kg/archive/en/community/176506-news24.html/, Media Report, including Wikileaks; http://www.china.org.cn/world/Off_the_Wire/2016-11/10/content_39679944.htm, Media Report, including Wikileaks; https://www.crbc.com/site/crbcEN/514/info/2017/46841300.html?id=570e2bf6-b830-4fd4-80d9-1c51e2336193, Implementing/Intermediary Agency Source; https://www.dropbox.com/s/62bikq8s1rxvlro/Two%20Sections%20of%20Highway%20Rehabilitation%20Project%20--%20AMP.pdf?dl=0, Government Source (Donor/Recipient); https://www.dropbox.com/s/048p18lbrvyinat/2012%20PBC%20Loan%20Agreement%20for%20the%20Two%20Sections%20of%20Highway%20Rehabilitation%20Project.pdf?dl=0, Government Source (Donor/Recipient); 'http://amp.gov.kg/aim/viewActivityPreview.do~public=true~pageId=2~activityId=2959', Government Source (Donor/Recipient); http://kg.mofcom.gov.cn/article/zxhz/201507/20150701059051.shtml , Government Source (Donor/Recipient); http://kg.chineseembassy.org/chn/dssghd/t1283949.htm, Government Source (Donor/Recipient); https://www.dropbox.com/sh/csm96s09710qee6/AAAg8HGFY65b_8vfmk5AnZgba/AMP%20Kyrgyz%20Republic%20Project%20ID%208718835227.pdf?dl=0, Government Source (Donor/Recipient)",NA,"https://reconnectingasia.csis.org/database/projects/osh-batken-isfana-road-km-220-232-248-360-rehabilitation/0f6dd169-65cb-495e-8a35-209eecddad35/","","good","district",70.78,39.77,"Batken","District","KGZ.1.1_1","Kyrgyzstan"
40336,"China Eximbank provides $70 million preferential buyer's credit for the South Kyrgyz Cement Factory Construction Project in Kyzyl-Kiya City","In 2006 China Eximbank provided a $70 million preferential buyer's credit (PBC) loan to BTA Bank for the construction of the South Kyrgyz Cement Factory in Kyzyl-Kiya City. Turan-Alem Bank (or BTA Bank) used the proceeds of this loan to on-lend to the project company (South Kyrgyz Cement CJSC) responsible for the construction of the cement factory. This loan was also guaranteed by BTA Bank. This project officially broke ground on March 25, 2006, with China CAMC Engineering Co Ltd implementing the project (as the EPC contractor) in partnership with South Kyrgyz Cement CJSC. The plant was expected to have an output of 2500 tons of cement per day and it was slated for completion in 2008. The cement production line was successfully put into operation in September 2009. The plant was officially commissioned on July 12, 2009. Although there was turmoil in the country including riots near the factory, a technical team successfully completed the performance evaluation of the production line and handed over the factory to the owner for management. STAFF_NOTE: This project is the first Chinese government provided a preferential credit within the framework of the Shanghai Cooperation Organisation (SCO). Some sources indicate that the face value of the loan was $77.8 million. However, for the time being, we use the more conservative $70 million estimate from BTA Bank, which is the guarantor of the loan.","Industry, Mining, Construction","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&NS=16&AID=9VIV000400&an=XIFICB0020060612e26c000gq&cat=a&ep=ASI, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&NS=16&AID=9VIV000400&an=AFXASI0020060612e26c002pb&cat=a&ep=ASI, Media Report, including Wikileaks; http://www.camce.com.cn/cn/xwzx/gsxw/201503/t20150309_56433.htm, Implementing/Intermediary Agency Source; http://finance.sina.com.cn/money/bank/bank_hydt/20060616/00002655819.shtml, Media Report, including Wikileaks; http://finance.people.com.cn/GB/1038/4460848.html, Media Report, including Wikileaks; https://global.factiva.com/redir/default.aspx?P=sa&NS=16&AID=9VIV000400&an=LBA0000020070827e38r000ih&cat=a&ep=ASI, Media Report, including Wikileaks; https://www.dropbox.com/s/zrj0yfnwejus6nv/JICA%20Presenta, Other Official Source (non-Donor, non-Recipient); http://bta.kz/en/press/news/2007/08/24/219/, Implementing/Intermediary Agency Source; http://bta.kz/en/press/news/2007/08/24/219/ and https://books.google.com/books?id=s1ElDgAAQBAJ&pg=PT96&lpg=PT96&dq=China+eximbank+%22cement%22+%22tajikistan%22&source=bl&ots=elf6VPJwRI&sig=wSRtefjW7G_Zwp-M340zn7daYRg&hl=en&sa=X&ved=2ahUKEwjF4b2d77bfAhWIEXwKHUb-AwE4ChDoATACegQICBAB#v=onepage&q=China%20eximbank%20%22cement%22%20%22tajikistan%22&f=false, Academic Journal Article; https://www.ifri.org/sites/default/files/atoms/files/ifrichinacentralasiakassenovaengjanuary2008.pdf, Academic Journal Article; https://books.google.com/books?id=J4kYDAAAQBAJ&pg=PA124&lpg=PA124&dq=kyrgyz+china+cement+factory+loan+2006&source=bl&ots=xp0ce0XZhp&sig=ACfU3U2NFQeBZloqHbhWtH9Brl9ZTadO6Q&hl=en&sa=X&ved=2ahUKEwjJzNyM-pDhAhXEq1kKHeM-DOAQ6AEwAHoECAgQAQ#v=onepage&q=kyrgyz%20china%20cement%20factory%20loan%202006&f=false, Academic Journal Article; http://www.ctiec.net/news/medium_news/40.jsp, Media Report, including Wikileaks; http://www.camce.com.cn/cn/xwzx/gsxw/201503/t20150309_56429.htm, Implementing/Intermediary Agency Source; https://www.dropbox.com/s/1m80lqtkxyl6sxx/BTA%20Bank%20-%20News.pdf?dl=0, Implementing/Intermediary Agency Source; http://english.eximbank.gov.cn/News/NewsR/201810/t20181024_7602.html, Government Source (Donor/Recipient); http://www.camce.com.cn/en/enAC/enHOD/en2009/, Government Source (Donor/Recipient); http://www.camce.com.cn/en/enAC/enHOD/en2006/, Government Source (Donor/Recipient); http://www.camce.com.cn/en/enBA/enEC/enIP/201503/t20150310_57521.htm, Government Source (Donor/Recipient)","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&NS=16&AID=9VIV000400&an=XIFICB0020060612e26c000gq&cat=a&ep=ASI, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&NS=16&AID=9VIV000400&an=AFXASI0020060612e26c002pb&cat=a&ep=ASI, Media Report, including Wikileaks; https://global.factiva.com/redir/default.aspx?P=sa&NS=16&AID=9VIV000400&an=LBA0000020070827e38r000ih&cat=a&ep=ASI, Media Report, including Wikileaks","https://www.google.com/maps/place/Kyzyl-Kiya,+Kyrgyzstan/data=!4m2!3m1!1s0x38bc7653c790e3f1:0xf20d8ffcea28a48a?sa=X&ved=2ahUKEwj85drs6bXvAhUsGVkFHVHYAFsQ8gEwE3oECBgQAQ, https://www.google.com/maps/place/CJSC+Yuzhno-Kyrgyzskiy+Cement/@40.2508212,72.1575025,13.26z/data=!4m5!3m4!1s0x0:0x22008c1573beccab!8m2!3d40.2570438!4d72.1914679","Kadamjai division is coded for this project since the cement factory that was built was build in Kyzyl-Kiya which is located in this division. The exact location of the cement factor was not found but Kyzyl-Kiya can be found by searching google maps.","good","district",71.76,39.99,"Kadamjai","District","KGZ.1.2_1","Kyrgyzstan"
55129,"China $50,000 USD for earthquake relief in Kyrgyzstan","On 17 November 2015, an earthquake hit the southern parts of Kyrgyzstan. According to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) Financial Tracking Service (flow ID #136926), on 26 November 2015, the Chinese government committed $50,000 USD for earthquake relief. AidData assumes these goods were delivered.","Emergency Response","http://www.xinhuanet.com/world/2015-12/01/c_128488278.htm, Media Report, including Wikileaks; https://fts.unocha.org/flows/136927?destination=donors/2976/flows/2015%3Ff%255B0%255D%3DdestinationEmergencyIdName%253A%2521, Other Official Source (non-Donor, non-Recipient); https://fts.unocha.org/flows/136926?destination=donors/2976/flows/2015%3Ff%255B0%255D%3DdestinationEmergencyIdName%253A%2521, Other Official Source (non-Donor, non-Recipient)",NA,"https://reliefweb.int/disaster/eq-2015-000158-kgz","Chong-Alay District is coded in this row. This aid was for the area impacted by the 2015 earthquake.  Articles listed Osh Region as the place of impact. Articles also noted that the earthquake was in the south of Kyrgyzstan, which is Osh Region. However, one article gave the districts of Kara-Suu, Alay, Ozgon, Kara-Kulja, Aravan and Chong-Alay as the places destroyed.","good","district",72.24,39.53,"Chong-Alay","District","KGZ.7.3_1","Kyrgyzstan"
73650,"Guangdong Province donates $30,000 USD for earthquake relief in Kyrgyzstan","On 17 November 2015, an earthquake hit the southern parts of Kyrgyzstan. According to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) Financial Tracking Service (flow ID #136927), on 15 December 2015, the Guangdong Provincial Government committed $30,000 USD for earthquake relief. AidData assumes these goods were delivered.","Emergency Response","http://www.xinhuanet.com/world/2015-12/01/c_128488278.htm, Media Report, including Wikileaks; https://fts.unocha.org/flows/136927?destination=donors/2976/flows/2015%3Ff%255B0%255D%3DdestinationEmergencyIdName%253A%2521, Other Official Source (non-Donor, non-Recipient); https://fts.unocha.org/flows/136926?destination=donors/2976/flows/2015%3Ff%255B0%255D%3DdestinationEmergencyIdName%253A%2521, Other Official Source (non-Donor, non-Recipient)",NA,"https://reliefweb.int/sites/reliefweb.int/files/resources/Kyrgyzstan-Earthquake-27%20Nov%202015.pdf","Uzgen, Kara-Kuldja, Alai, Kara-Suu, Osh, Aravan, Chong-Alay divisions are all coded for this project since these are the areas that were affected by the earthquake. The geo source provided shows all the areas affected by the earthquake. (Chong-Alay)","good","district",72.24,39.53,"Chong-Alay","District","KGZ.7.3_1","Kyrgyzstan"
73650,"Guangdong Province donates $30,000 USD for earthquake relief in Kyrgyzstan","On 17 November 2015, an earthquake hit the southern parts of Kyrgyzstan. According to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) Financial Tracking Service (flow ID #136927), on 15 December 2015, the Guangdong Provincial Government committed $30,000 USD for earthquake relief. AidData assumes these goods were delivered.","Emergency Response","http://www.xinhuanet.com/world/2015-12/01/c_128488278.htm, Media Report, including Wikileaks; https://fts.unocha.org/flows/136927?destination=donors/2976/flows/2015%3Ff%255B0%255D%3DdestinationEmergencyIdName%253A%2521, Other Official Source (non-Donor, non-Recipient); https://fts.unocha.org/flows/136926?destination=donors/2976/flows/2015%3Ff%255B0%255D%3DdestinationEmergencyIdName%253A%2521, Other Official Source (non-Donor, non-Recipient)",NA,"https://reliefweb.int/sites/reliefweb.int/files/resources/Kyrgyzstan-Earthquake-27%20Nov%202015.pdf","Uzgen, Kara-Kuldja, Alai, Kara-Suu, Osh, Aravan, Chong-Alay divisions are all coded for this project since these are the areas that were affected by the earthquake. The geo source provided shows all the areas affected by the earthquake. (Aravan)","good","district",72.43,40.45,"Aravan","District","KGZ.7.2_1","Kyrgyzstan"
55129,"China $50,000 USD for earthquake relief in Kyrgyzstan","On 17 November 2015, an earthquake hit the southern parts of Kyrgyzstan. According to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) Financial Tracking Service (flow ID #136926), on 26 November 2015, the Chinese government committed $50,000 USD for earthquake relief. AidData assumes these goods were delivered.","Emergency Response","http://www.xinhuanet.com/world/2015-12/01/c_128488278.htm, Media Report, including Wikileaks; https://fts.unocha.org/flows/136927?destination=donors/2976/flows/2015%3Ff%255B0%255D%3DdestinationEmergencyIdName%253A%2521, Other Official Source (non-Donor, non-Recipient); https://fts.unocha.org/flows/136926?destination=donors/2976/flows/2015%3Ff%255B0%255D%3DdestinationEmergencyIdName%253A%2521, Other Official Source (non-Donor, non-Recipient)",NA,"https://reliefweb.int/disaster/eq-2015-000158-kgz","Aravan District is coded in this row. This aid was for the area impacted by the 2015 earthquake.  Articles listed Osh Region as the place of impact. Articles also noted that the earthquake was in the south of Kyrgyzstan, which is Osh Region. However, one article gave the districts of Kara-Suu, Alay, Ozgon, Kara-Kulja, Aravan and Chong-Alay as the places destroyed.","good","district",72.43,40.45,"Aravan","District","KGZ.7.2_1","Kyrgyzstan"
54384,"China sends volunteers to teach Chinese at educational institutes in Osh","In 2017, the Confucius Institute began offering Chinese language classes at Osh Technological University, Osh Humanitarian Pedagogical Institute and at the Bilim Lyceum. Two volunteers from China will help teach the language and prepare students who will sit for Chinese language exams.","Education","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=KABNEW0020170310ed3a00001&cat=a&ep=ASE, Media Report, including Wikileaks; https://www.oshsu.kg/news/new/?lg=1&id_parent=76&id2=5492, Implementing/Intermediary Agency Source","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=KABNEW0020170310ed3a00001&cat=a&ep=ASE, Media Report, including Wikileaks","https://www.google.com/maps/place/Osh+Technological+University+named+after+the+academician+M.+M.+Adyshev/@40.4880348,72.8317898,15z/data=!4m5!3m4!1s0x0:0x8567fbd6260a879f!8m2!3d40.4880348!4d72.8317898","Osh division is coded for this project since the volunteers taught classes at the Osh technological University, which is located in osh division. The university's locationcan be found by searching the name of the school into google maps","good","district",72.81,40.52,"Osh","City","KGZ.6.1_1","Kyrgyzstan"
43847,"China opens Confucius Institute at Osh State University","The Confucius Institute at Osh State University opened in January, 2013 as the third Confucius Institute in Kyrgyzstan and the first to focus on BA programs in the Chinese language. In 2017, it was awarded a gold medal and recognized as the 'best institute' of the year for its contributions towards Kyrgyz-Chinese relations. The award was presented during a meeting of all 625 Confucius Institutes in the city of Xian on December 12.","Education","http://english.hanban.org/node_42181.htm, Government Source (Donor/Recipient); https://www.fmprc.gov.cn/chn///gxh/cgb/zcgmzysx/yz/1206_13/1206x1/t6961.htm, Government Source (Donor/Recipient); http://kabar.kg/eng/news/confucius-institute-of-osh-state-university-is-awarded-gold-medal-in-china/, Media Report, including Wikileaks; http://english.hanban.org/article/2016-05/12/content_641434.htm, Implementing/Intermediary Agency Source",NA,"http://english.hanban.org/node_42181.htm","A Confucius Institute was opened at Osh State University. This university is located in the city of Osh, which was coded with QGIS.","good code up","district",72.81,40.52,"Osh","City","KGZ.6.1_1","Kyrgyzstan"
