"project_id","title","description","crs_sector_name","sources","factiva_sources","GEO_sources","GEO_notes","Christian.Notes","level","X","Y","name","name_type","GID","country"
39943,"ICBC provides $29.2 million export buyer's credit loan for Kungrad Soda Ash Plant Project (Linked to Project ID#54832)","In 2003, Industrial and Commercial Bank of China (ICBC) signed a $29.23 million export buyer's credit loan agreement with Uzbek Industrial and Construction Bank (JSC Uzpromstroybank) for the construction of the Kungrad Soda Ash Plant in Uzbekistan within the autonomous republic of Karakalpakstan. The loan carried an interest rate of LIBOR + 1.5%. Sinosure provided insurance.

CITIC Group and Uzkimyosanoat were responsible for project implementation. Under the terms of its contract, Citic Pacific Ltd. designed and constructed the plant on a turnkey basis (in which CITIC would turn over the plant after a certain number of years of its operation) at a cost of $32.3 million. The plant was officially commissioned in August 2006.  This project sought to achieve a production capacity of 100,000 tons of soda ash per year  — by mining limestone from the Jamansay (Dzhamansay) quarry and the Barsakelmes field salt field in Karakalpakstan (an autonomous republic in north-western Uzbekistan). The main consumers of soda plant are Uzbek enterprises that produce household chemicals and building materials, including various types of glass.

In 2012, the capacity of the plant was expanded to 200,000 tons per year, which was partially financed by a loan from China's Eximbank (see Project ID #54832). 

Staff Note: The Chinese project title is 乌兹别克斯坦昆格勒纯碱厂. ""","Industry, Mining, Construction","https://global.factiva.com/redir/default.aspx?P=sa&an=bbcapp0020030305dz3500ci1&cat=a&ep=ASE, Media Report, including Wikileaks; http://neurope.eu/article/citic-launch-uzbek-plant/, Media Report, including Wikileaks; https://www.uzdaily.com/articles-id-34875.htm, Media Report, including Wikileaks; http://www.uzbembassy.org.il/news.php?dir=news_details&id=2149&lang=1, Media Report, including Wikileaks; https://webmail.uzbembassy.org.il/news.php?dir=news_details&id=9135&lang=EN, Media Report, including Wikileaks; http://uz.mofcom.gov.cn/article/zxhz/201011/20101107226685.shtml, Government Source (Donor/Recipient); https://www.glassonline.com/uzbekistan-receives-chinese-loan-to-build-soda-plant/, Media Report, including Wikileaks; http://www.dameng.citic/iwcm/null/null/ns:LHQ6LGY6LGM6MmM5NDgyOTUzNDhlNzlkZjAxMzRhNmNjOTY1YzA1ZWEscDosYTosbTo=/show.vsml, Government Source (Donor/Recipient); http://construction.citic/en/content/details_47_2378.html, Implementing/Intermediary Agency Source; https://www.reuters.com/article/fitch-affirms-4-state-owned-uzbek-banks-idUSFit4B8rSW, Media Report, including Wikileaks; http://beta.wvb.com/corporations/update/download/src/$mnt$pdf_mount$reports$2012$UZB$000$040$UZB000040012.2012.A.00.E.12.31.PDF, Other; https://en.trend.az/casia/uzbekistan/2084978.html, Media Report, including Wikileaks; http://uz.mofcom.gov.cn/aarticle/jmxw/200810/20081005820847.html, Government Source (Donor/Recipient); https://uzkimyosanoat.uz/en/press/about-us/kungradskiy_sodovyy_zavod_v_2012_g_proizvel_92_tys_tonn_kal_cinirovannoy_sody/pdf, Implementing/Intermediary Agency Source; http://www.icbc.com.cn/icbc/gxk_1/10497.htm, Other Official Source (non-Donor, non-Recipient); https://www.lex.uz/ru/docs/2276604?otherlang=1, Government Source (Donor/Recipient); https://www.lex.uz/acts/598796, Government Source (Donor/Recipient)","https://global.factiva.com/redir/default.aspx?P=sa&an=bbcapp0020030305dz3500ci1&cat=a&ep=ASE, Media Report, including Wikileaks","","Code Qungirot district","good","district",57.19,43.49,"Qo'ng'irot","City","UZB.5.10_1","Uzbekistan"
72162,"China Eximbank provides the National Bank for Foreign Economic Affairs of the Republic of Uzbekistan with RMB 112 million for the acquisition of excavators, bulldozers and dredgers (linked to #39957)","On June 15, 2004, China Eximbank signed an agreement to provide a 300 million RMB concessional loan to the Republic of Uzbekistan for various projects (captured in #39957). On July 18, 2005, China Eximbank agreed to allocate RMB 112 million from the concessional loan to the National Bank for Foreign Economic Affairs of the Republic of Uzbekistan for the acquisition of excavators, bulldozers and dredgers to increase the supply of irrigated water in the Republic of Karakalpakstan and the Khorezm region.

On July 18, 2005, the National Bank for Foreign Economic Affairs of the Republic of Uzbekistan and China Eximbank signed a loan agreement for the acquisition of excavators, bulldozers and dredgers to increase the supply of irrigated water in the Republic of Karakalpakstan and the Khorezm region. The loan carried the following terms: 20 year maturity, 5 year grace period, 2% interest rate, 0.2% commitment fee, and 0.2% management fee. The contractor responsible for project implementation was China National Machinery and Equipment Import and Export Corporation. 

STAFF_NOTE: The Russian name of this project is Приобретение экскаваторов, бульдозеров и земснарядов для мелиоративного улучшения и повышения водообеспеченности орошаемых земель Республики Каракалпакстан и Хорезмской области.","Water Supply and Sanitation","https://nrm.uz/contentf?doc=108947_postanovlenie_prezidenta_respubliki_uzbekistan_ot_02_12_2005_g_n_pp-230_o_merah_po_realizacii_proekta_priobretenie_ekskavatorov_buldozerov_i_zemsnaryadov_dlya_meliorativnogo_uluchsheniya_i_povysheniya_vodoobespechennosti_oroshaemyh_zemel_respubliki_karakalpakstan_i_horezmskoy_oblasti, Government Source (Donor/Recipient); https://nrm.uz/contentf?doc=305021_postanovlenie_prezidenta_respubliki_uzbekistan_ot_23_05_2005_g_n_pp-82_o_merah_po_ispolzovaniyu_sredstv_predostavlyaemyh_pravitelstvom_kitayskoy_narodnoy_respubliki&products=1_vse_zakonodatelstvo_uzbekistana , Government Source (Donor/Recipient); https://nrm.uz/contentf?doc=305021_postanovlenie_prezidenta_respubliki_uzbekistan_ot_23_05_2005_g_n_pp-82_o_merah_po_ispolzovaniyu_sredstv_predostavlyaemyh_pravitelstvom_kitayskoy_narodnoy_respubliki&products=1_vse_zakonodatelstvo_uzbekistana, Government Source (Donor/Recipient)",NA,"","Coded the Karakalpakstan region.","good","district",57.19,43.49,"Qo'ng'irot","City","UZB.5.10_1","Uzbekistan"
54832,"China Eximbank provides a $73.85 million for Kungrad Soda Ash Plant Expansion Project (Linked to Project ID#39943)","On September 12, 2012, China Eximbank issued a loan of $73.85 million to Uzbek Industrial and Construction Bank (JSC Uzpromstroybank) for the expansion of the Kungrad Soda Ash Plant in the Karakalpakstan region of Uzbekistan. The China Eximbank loan was provided on the following terms: maturity of 20 years, 5 year grace period, interest rate of Euribor + 2% margin.

The Kungrad Soda Ash Plant Expansion Project sought to expand the plant's capacity from 100,000 to 200,000 tons per year — by mining limestone from the Jamansay (Dzhamansay) quarry and the Barsakelmes field salt field in Karakalpakstan (an autonomous republic in north-western Uzbekistan). The main consumers of soda plant are Uzbek enterprises that produce household chemicals and building materials, including various types of glass. The total cost of the project cost $110 million, financed by China Eximbank, the Fund for Reconstruction and Development of Uzbekistan, and state Joint Stock Company (JSCJ) Uzkimyosanoat.

Project implementation was overseen by State Joint-Stock Company Uzhimprom. CITIC Co, Ltd. designed and supplied equipment for the project. Project implementation began on January 10, 2013. It was completed in January 19, 2016.  

This project is linked to Project ID #39943, an ICBC loan in 2003 for the construction of the plant.

Staff Note: The Russian project title is Строительство II-очереди объектов Кунградского СЗ. Some sources identify the face value of the China Eximbank as $77 million. However, we use the face value reported by the borrower of the loan: Uzbek Industrial and Construction Bank (JSC Uzpromstroybank)","Industry, Mining, Construction","https://en.trend.az/business/economy/2065160.html, Media Report, including Wikileaks; http://uzdaily.com/en/post/21582, Media Report, including Wikileaks; https://www.uzdaily.uz/en/post/34875, Media Report, including Wikileaks; http://www.mofcom.gov.cn/dl/gbdqzn/upload/wuzibieke.pdf, Government Source (Donor/Recipient); https://en.trend.az/casia/uzbekistan/2084978.html, Media Report, including Wikileaks; https://www.scribd.com/document/392125621/GovernmentConcessional-Loan-PreferentialBuyer-sCredit-Brochure-pdf, Government Source (Donor/Recipient); https://www.uzdaily.uz/en/post/34875, Media Report, including Wikileaks",NA,"https://www.openstreetmap.org/way/441678582#map=15/43.1016/58.3719,https://uzkimyosanoat.uz/en/enterprise/manufacture/kungrad-soda-zavod","Qo'ng'irot division is coded for this project since the plant that received money from the loan is located in this division.  The location of the Kungrad soda ash plant can be found on open street maps and the mailing address can also be found on the Uzkimyosanoat website","good","district",57.19,43.49,"Qo'ng'irot","City","UZB.5.10_1","Uzbekistan"
72571,"China provides a 100,000 USD grant for the purchase of new stage equipment at a children's arts center in Uzbekistan (Linked with projects #71501, #72568, #72567, #72569, #72570, and #72564)","In 2014, China committed to a grant of US$100,000 to Uzbekistan for the purchase of new stage equipment for the purchase and supply of modern special stage equipment to the Republican Center for Children's Artistic Creativity in Nukus. The acquisition was part of a push by Uzbekistan to attract grant aid for its education system. It was reported that Uzbekistan attracted $225.6 million of grant aid for this purpose, some of which was provided by the People's Republic of China. As such, this project is linked to several other Chinese donations to the education sector during this timeframe: #71501 for the allocation of multimedia packages to classrooms grades 1st-4th #72568 for the purchase of 740 pcs of computer equipment for special needs students #72567 for the purchase of new equipment for the Center for the Development of Multimedia General Education Programs (CDMEP) #72569 for the purchase of computer hardware and computer equipment #72570 for the equipping of children's centers 'Barkamol Avlod' with 434 sets of computer equipment #72564 for the allocation of multimedia packages to classrooms grades 5th-9th","Education","https://www.lex.uz/acts/2428327, Government Source (Donor/Recipient); https://mapcarta.com/N6934490219https://mapcarta.com/N6934490219, Media Report, including Wikileaks",NA,"https://mapcarta.com/N6934490219","The arts center is in Nukus, which is the capital of the autonomous zone of Karakalpakstan","good","district",59.54,42.6,"Nukus","District","UZB.5.8_1","Uzbekistan"
70304,"Chinese Government provided RMB 50 million to the Government of Uzbekistan through an Economic and Technical Cooperation Agreement (ECTA) for the Karakul Pumping Station Reconstruction Project","In 2009, Chinese Government provided a RMB 50 million interest-free loan for Karakul Pumping Station Reconstruction Project. On June 27, 2009, the Chinese Government committed RMB 60 million to the Government of Uzbekistan through an Economic and Technical Cooperation Agreement (ECTA). Using RMB 50 million of the proceeds from this ECTA, the Government of Uzbekistan obtained an interest-free loan for the Karakul Pumping Station Reconstruction Project. To support this loan agreement, an inter-bank agreement was signed between China Development Bank and the National Bank for Foreign Economic Affairs of the Republic of Uzbekistan on May 28, 2010. 

The Karakul Pumping Station Reconstruction Project sought to reconstruct a Karakul district pumping station in Bukhara region (oblast). It did so by, among other things, facilitating the acquisition of pump equipment. China IPPR International Engineering Corporation was the contractor. This pump station is responsible for the irrigation of nearly 30,000 hectares of land in the Karakul region and the water supply for 769 livestock farms. During the slack season, the pump station is used to wash saline-alkali soil. The primary and auxiliary Karakul pump stations have been operating for over 40 years and 25 years, respectively, and long exceeded the normal service life of mechanical and electrical equipment. The poorly serviced equipment were no longer able to satisfy the local irrigation needs. The successful completion and operation of the Karakul Pump Station Reconstruction Project on schedule further expanded the irrigation coverage of the pump station, not only restoring and improving the agricultural irrigation and drainage conditions, but also effectively improving the salinealkali soil environment. The Karakul region, one of the most important cotton production areas of Uzbekistan, had an excellent harvest of cotton in that very year. In 2012, both the region’s irrigated cotton plantation area and output ranked second across the country and the cotton festival, which had been abandoned for over a decade, was revived, attracting over 200,000 visitors.  

This project was initiated in 2006 and completed on January 13, 2013.  

Staff Note: The Russian project title is ""Реконструкция насосной станции ""Каракуль"" в Бухарской области”.","Other Social infrastructure and services","https://www.imf.org/en/Publications/CR/Issues/2016/12/31/Republic-of-Uzbekistan-Poverty-Reduction-Strategy-Paper-21636, Other Official Source (non-Donor, non-Recipient); http://www.jingxing.com.cn/english/onews.asp?id=78, Social Media, including Unofficial Blogs; https://www.timesca.com/index.php/news/7648-chinas-ippr-reconstructs-pumping-station-in-uzbekistan, Government Source (Donor/Recipient); http://www.sinomach.com.cn/en/MediaCenter/News/201412/t20141209_22043.html, Media Report, including Wikileaks; http://uz.china-embassy.org/chn/zwgx/jmhz/t355649.htm, Government Source (Donor/Recipient); https://nrm.uz/contentf?doc=407214_postanovlenie_prezidenta_respubliki_uzbekistan_ot_06_07_2011_g_n_pp-1568_o_merah_po_obespecheniyu_effektivnogo_ispolzovaniya_bezvozmezdnoy_pomoshchi_pravitelstva_kitayskoy_narodnoy_respubliki_dlya_realizacii_proekta_rekonstrukciya_nasosnoy_stancii_karakul_v_buharskoy_oblasti&products=1_vse_zakonodatelstvo_uzbekistana, Government Source (Donor/Recipient)",NA,"https://www.timesca.com/index.php/news/7648-chinas-ippr-reconstructs-pumping-station-in-uzbekistan; https://www.google.com/maps/place/Qorako'l,+Uzbekistan/@39.5002671,63.8511406,13.64z/data=!4m5!3m4!1s0x3f5accaebd68029f:0x10383b9e5557a1ca!8m2!3d39.495941!4d63.85672","Coded the Karakul/Qorako'l district. The title, description and location details gave Karakul district as the location and couldnt find any contradicting information. Coded the district using QGIS and geojson","good","district",63.05,39.91,"Qorako'l","District","UZB.2.7_1","Uzbekistan"
53865,"Bank of China provides a $178 million loan for the implementation of the Gas Condensate Field Khojadavlat Project (Linked to #54069, #39659, and #39658)","In 2017, the Bank of China (Paris Branch) provided a $178 million loan to New Silk Road Oil and Gas — an Uzbek-Chinese joint venture (special purpose vehicle) — for the implementation of the Gas Condensate Field Khojadavlat Project (also known as New Silk Road Project). The project is funded by a $177.7 million USD loan agreement with the Bank of China, under the guarantee of CNPC. The total cost of the project is $377.5 million USD.

The Chinese National Petroleum Company (CNPC) and Uzbekneftegaz began developing three gas condensate fields in the Bukhara-Khiva region of Uzbekistan (Dengizkul, Kojadavlat, and Sharky Alat). When the three fields are developed, they will produce 869.6 million cubic meters of natural gas for exportation and 6,400 tons of gas condensate for domestic markets annually. The project was scheduled to begin in 2014, but construction began on May 30th, 2017.

The project will be implemented by three CNPC subsidiary companies: China Petroleum Engineering & Construction Corporation (CPECC) will develop the fields, designs, logistics, construction, and commissioning of facilities for the project; XIBU Drilling Engineering Company Ltd. will drill 10 production wells; and China National Logging Corporation will repair 6 wells and test production wells. 

In December 2017, the New Silk Road Oil and Gas Company Ltd (NSROG) founded as a joint venture by the CNPC and Uzbekneftegaz to oversee the project, started gas production in the Dengizkul field after the drilling of 2 new wells and repairing of 3 wells. NSROG announced that the Kojadavlat and Sharky Alat, specifically the 8 new wells and 3 damaged wells within these fields, were still under construction. A projected end date for the project has not been announced; however, construction was still occurring in September 2018.

Leading up to the 2017 development of these fields, the China National Oil and Gas Exploration and Development (CNODC), a subsidiary of CNPC, conducted a 5 year geologic oil survey for 359 million USD in 2006 (#54069), drilled 13 exploratory wells worth 260.2 million USD in 2011 (#39659), and 14.9 million USD for further oil exploration in 2012 (#39658).

STAFF_NOTE: The Chinese project title is 西莎、西吉和东阿拉特气田开发. Spelling was a little different in each source for site names, specifically Sharky Alat vs. Sharqiy Alat and Dengizkul vs. Khojasayat (the name of the overall region). Role of the JV unclear as Chinese companies both funded and implemented the project. Terms of the loan are unclear.","Energy Generation and Supply","https://global.factiva.com/redir/default.aspx?P=sa&an=ACQIND0020150109eb160000h&cat=a&ep=ASE, Media Report, including Wikileaks; http://www.azernews.az/region/75323.html, Media Report, including Wikileaks; https://www.azernews.az/region/110309.html, Media Report, including Wikileaks; https://www.azernews.az/oil_and_gas/51493.html, Media Report, including Wikileaks; http://interfaxenergy.com/gasdaily/article/26449/cnpc-and-uzbekneftegaz-start-gas-production-in-uzbek-blocks, Media Report, including Wikileaks; https://newsbase.com/topstories/cnpc-pushes-ahead-upstream-plans-uzbekistan, Media Report, including Wikileaks; http://tashkenttimes.uz/economy/1016-uzbekistan-china-jv-new-silk-road-oil-and-gas-commences-drilling-in-bukhara, Media Report, including Wikileaks; http://www.oilgas.gov.tm/en/catalog/621, Media Report, including Wikileaks; https://www.uzdaily.com/articles-id-45761.htm, Media Report, including Wikileaks; http://www.today.az/view.php?id=167571, Media Report, including Wikileaks; https://avim.org.tr/en/Bulten/UZBEKISTAN-AND-CHINA-START-GAS-PRODUCTION-IN-BUKHARA-REGION, Media Report, including Wikileaks; http://www.uzneftegaz.uz/en/press-center/news/ao-uzbekneftegaz-i-korporatsiya-cnpc-kitay-obsudili-ocherednye-shagi-po-razvitiyu-sotrudnichestva/, Implementing/Intermediary Agency Source; http://uzbekistan.nsk.ru/index.php?option=com_content&view=article&id=8763:uzbekneftegaz-and-the-china-national-petroleum-company-cnpc-have-been-implementing-a-number-of-promising-projects&catid=41:the-investment&Itemid=90, Government Source (Donor/Recipient); https://www.uzdaily.com/articles-id-41891.htm, Media Report, including Wikileaks; http://tashkenttimes.uz/economy/1776-uzbek-chinese-new-silk-road-oil-gas-starts-producing, Media Report, including Wikileaks; https://www.angi.ru/news/2879902-%D0%A3%D0%B7%D0%B1%D0%B5%D0%BA%D1%81%D0%BA%D0%BE-%D0%BA%D0%B8%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%BE%D0%B5-%D0%A1%D0%9F-%D0%BF%D1%80%D0%BE%D0%B4%D0%BE%D0%BB%D0%B6%D0%B0%D0%B5%D1%82-%D0%B4%D0%BE%D0%B1%D1%8B%D1%87%D1%83-%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE-%D0%B3%D0%B0%D0%B7%D0%B0-%D0%B2-%D0%A3%D0%B7%D0%B1%D0%B5%D0%BA%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D0%B5/, Media Report, including Wikileaks; http://www.xinhuanet.com/world/2017-12/05/c_1122060252.htm , Media Report, including Wikileaks; https://www.cnpc.com.cn/en/2014enbvfg/201504/b88722a3da924318b2e405ed62073072/files/997a908af10e49beb96b4128a1665ddd.pdf, Implementing/Intermediary Agency Source; https://silkroadnews.org/en/news/chinese-cnpc-to-start-development-of-new-gas-fields-in-uzbekistan-this-year, Media Report, including Wikileaks; http://www.xinhuanet.com//photo/2017-12/05/c_1122061430.htm , Media Report, including Wikileaks; https://ticaret.gov.tr/data/5c34a90b13b8760ce41004b6/list_investment_projects_by_sectors_2019.pdf , Government Source (Donor/Recipient); http://www.osce-academy.net/upload/file/CADGAT_23_BRI_Mineral_Exploration_Extraction_and_Processing.pdf, Academic Journal Article; https://www.cnpc.com.cn/en/nr2017/201705/7e79d750e7524d60b786a913d9bac7a7.shtml, Implementing/Intermediary Agency Source","https://global.factiva.com/redir/default.aspx?P=sa&an=ACQIND0020150109eb160000h&cat=a&ep=ASE, Media Report, including Wikileaks","https://www.ogj.com/drilling-production/drilling-operations/article/17289344/cnpc-uzbekneftegaz-start-karakul-phase, https://china-centralasia.org/en/project/169, https://www.oxfordenergy.org/wpcms/wp-content/uploads/2019/12/Central-Asian-Gas-NG-155.pdf","The first source details the Khojadavlat field to be in the Bukhara region. The second source (page 19) describes the specific district in the region of Karakul (Qorakoʻl) ","good","district",63.05,39.91,"Qorako'l","District","UZB.2.7_1","Uzbekistan"
53922,"China's Exim Bank Loans to Create Food Transport Center in Bukhara (Linked to #54125)","In 2016, China's Xinjiang Silu Changlong Investment Co., Ltd committed to implementing, with the Ministry of Economy of Uzbekistan, a food transport center in Bukhara, Uzbekistan for the production, processing, and exportation of agricultural products. Total foreign financing will be $28.7 million; news sources report that this consists of investment by Xinjiang Silu Changlong Investment Co., Ltd. (project #54125) and a loan from the Eximbank of China, captured in this project. The breakdown of this financing is unclear. For the purpose of this project, $28.7 million has been coded as the transaction amount for the linked project, so as not to be double counted. The project will include a modern logistics center; 2 plants for processing of fruits, vegetables, meat and dairy products; a factory for the production of cardboard and plastic boxes; 4 refrigerators; energy efficient green houses; plant orchards using intensive technologies; and 20 refrigerated MAN trucks. The initial capacity of the project will be 10,000 products annually, and all fruits & vegetables will be exported.","Agriculture, Forestry and Fishing","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=UZBDAY0020160718ec7i00031&cat=a&ep=ASE, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=TCASIA0020160722ec7m00002&cat=a&ep=ASE, Media Report, including Wikileaks; https://global.factiva.com/redir/default.aspx?P=sa&an=TRENDE0020160719ec7j000jj&cat=a&ep=ASE, Media Report, including Wikileaks; https://www.producereport.com/article/uzbekistan-china-broaden-cooperation-agriculture, Media Report, including Wikileaks; http://www.uzbekistanitalia.org/home/fiera-internazionale-dell-ortofrutta/uzbekistanhasshowcasedsunnyfruitsandvegetablestotheworld, Government Source (Donor/Recipient); http://www.lex.uz/docs/3835897, Government Source (Donor/Recipient)","https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=UZBDAY0020160718ec7i00031&cat=a&ep=ASE, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&an=TCASIA0020160722ec7m00002&cat=a&ep=ASE, Media Report, including Wikileaks; https://global.factiva.com/redir/default.aspx?P=sa&an=TRENDE0020160719ec7j000jj&cat=a&ep=ASE, Media Report, including Wikileaks","","Bukhara is referenced in location details","good","district",64.38,39.64,"Buxoro","District","UZB.2.1_1","Uzbekistan"
72136,"China Eximbank loans $4.18 million for the Reconstruction of the Kasaba Pumping Station Project","In 2014, China Eximbank provided the National Bank for Foreign Economic Affairs of the Republic of Uzbekistan with a $4.18 million loan for the Reconstruction of the Kasaba Pumping Station Project. The terms of the loan are as follows: 20 year maturity, 5 year grace period. 2% interest rate.

China IPPR International Engineering Co., Ltd. is the contractor responsible for project implementation. The implementation period of the project is three years (2014-2016). The purpose of this project is to irrigate agricultural crops within the Navoi Region.

STAFF_NOTE: The Russian project title is Реконструкция насосной станции «Касаба» в Навоийской области.","Water Supply and Sanitation","https://lex.uz/docs/2454687, Media Report, including Wikileaks; https://nbu.uz/upload/iblock/e22/3_GO_NBU.pdf, Government Source (Donor/Recipient)",NA,"https://www.adb.org/sites/default/files/project-document/67253/40086-uzb-tacr.pdf","The source listed describes the Kasaba pumping station as located in the Zarafshan river basin. According to google maps, Zarafshan is located in the Navoi region, consistent with the information fo the sources. Zarafshan is located in the Tamdy district.","good","district",65.23,42.07,"Tomdi","District","UZB.9.6_1","Uzbekistan"
53862,"CDB provides $85 million loan for Mubarek Gas Chemical Complex Project","In 2009, China Development Bank and the National Bank for Foreign Economic Affairs of the Republic of Uzbekistan signed an $85 million loan agreement for the construction of a propane-butane mixing unit at the Mubarek Gas Processing Plant. This loan carried the following terms: 9 year maturity, 2 year grace period, 6.2% interest rate, 1.5% management fee, and 0.5% commitment fee.  

Uzpromstoybank JSC provided a guarantee for the loan.  Zeromax GmbH (Switzerland) was the contractor responsible for project implementation. The gas chemical complex is located in the city of Muborek within the Kashkadarya (also spelled as Qashqadaryo) region of Uzbekistan. The plant was eventually expected to produce 492,000 tons of polyethylene, 66,000 tons of condensate gas and tonnes of pyrolized petroleum a year. Its work was supervised by Uzbekneftegaz. This project was completed on May 14, 2013.

Staff Note: The Chinese project title is 穆巴列克天然气加工厂合. The Russian project title is «Строительство установки пропан-бутановой смеси для увеличения производства сжиженного газа на УДП «Мубарекский ГПЗ». As this project neared completion, a joint venture (special purpose vehicle) called UzIndoramaGasChemical was established by Uzbekneftegas NHC and Singapore's Indorama Group for continued investment in Mubarek Gas Processing Plant Project.  In May 2012, Uzbekneftegaz and Indorama Group (Singapore) established the joint venture. Then, China National Petroleum Corporation (CNPC) signed an MOU with this joint venture in September 2013 in order to participate in the gas chemical project, but its involvement in the project did not become official in 2014. 

Staff Note: This project is also known as the Mubarek Gas Chemical Complex Project. It is not clear if the National Bank for Foreign Economic Affairs of the Republic of Uzbekistan used the proceeds of the CDB loan to on-lend to UzIndoramaGasChemical.","Energy Generation and Supply","http://uz.mofcom.gov.cn/article/jmxw/201407/20140700651148.shtml, Government Source (Donor/Recipient); http://www.xinhuanet.com/world/2014-09/11/c_126972947_2.htm, Media Report, including Wikileaks; http://uz.mofcom.gov.cn/article/jmxw/201309/20130900320535.shtml, Government Source (Donor/Recipient); http://www.afghannewsagency.com/en/News/163126/1392-6-26/2013-52-17/CNPC-to-join-joint-venture-on-gas-complex-construction-in-Uzbekistan-worth-$25-billion, Media Report, including Wikileaks; https://www.uzdaily.com/articles-id-28260.htm, Media Report, including Wikileaks; http://www.aucconline.com/news.php?news_id=512, Government Source (Donor/Recipient); https://www.uzdaily.com/articles-id-24758.htm, Media Report, including Wikileaks; http://www.uzbekembassy.org/userfiles/files/files/Fund%20of%20Reconstruction%20and%20Develpment.pdf, Government Source (Donor/Recipient); https://mfa.uz/en/press/news/2015/09/5230/, Government Source (Donor/Recipient); http://uz.mofcom.gov.cn/article/catalog/201008/20100807080906.shtml, Government Source (Donor/Recipient); https://uz.sputniknews.ru/economy/20160129/1665405.html, Media Report, including Wikileaks; https://www.lex.uz/ru/docs/1515958?lact_id=1515958&version=print, Government Source (Donor/Recipient); https://nrm.uz/contentf?doc=181484_postanovlenie_prezidenta_respubliki_uzbekistan_ot_05_05_2009_g_n_pp-1108_o_dopolnitelnyh_merah_po_realizacii_investicionnogo_proekta_po_uvelicheniyu_proizvodstva_sjijennogo_gaza_na_udp_mubarekskiy_gpz, Government Source (Donor/Recipient); https://www.dropbox.com/s/vults7c3kv89j45/BU_PITCH_ENGLISH_2018.xlsx?dl=0, Government Source (Donor/Recipient)",NA,"https://www.openstreetmap.org/way/220695187#map=14/39.1848/65.2945","Muborak divison is coded for this project since the gas plant that received funding for construction is located in this division. The location of the plant can be found through Open Street Map by its name","good","district",65.29,39.24,"Muborak","District","UZB.6.7_1","Uzbekistan"
70580,"China Eximbank provides $26.3 million loan for 220kv and 110kv Tashkent External Power Supply Facilities Project","In 2009, China Eximbank loaned $26,354,900 USD to Uzbekistan for the 220kv and 110kv Tashkent External Power Supply Facilities Project. This loan carried the following terms: 20 year maturity, 5 year grace period, 2% interest rate, 0.3% commitment fee, 0.3% management fee.

The project involved the construction of a 220 kV transmitting station “Keles” with high-voltage line of 220 kV, a “Navoi” transmission substation of 110 kV, and a “Sayilgoh” transmission station of 110 kV with cable line of 110 kV. It entered implementation on September 4, 2009. 

Staff Note: The Chinese project title is 建设塔什干外部供电设施.","Energy Generation and Supply","http://uz.mofcom.gov.cn/article/jmxw/201007/20100707036641.shtml, Government Source (Donor/Recipient); http://ns1.cawater-info.net/news/09-2009/04_e.htm, Media Report, including Wikileaks; https://www.dropbox.com/s/q0re0vikjz99fzl/Various%20Chinese%20Loans%20for%20Power%20Sector%20Projects%20in%20Uzbekistan.pdf?dl=0, Government Source (Donor/Recipient); https://www.dropbox.com/s/ltnc4n74e287gl9/China%20Eximbank%20loan%20for%20construction%20of%20external%20power%20supply%20facilities%20in%20Tashkent%20City%20.pdf?dl=0, Government Source (Donor/Recipient); https://www.asiaplustj.info/en/news/centralasia/20090907/uzbekistan-starts-construction-objects-external-power-supply, Media Report, including Wikileaks",NA,"https://www.carecinstitute.org/wp-content/uploads/2018/03/Session-6-1-Elena-Shadrina.pdf, https://www.carecprogram.org/uploads/04-Current-State-of-the-Power-Grid-of-the-Republic-of-Uzbekistan-and-Electricity-Trade-with-Other-Power-Grids.pdf, https://mapcarta.com/W756791618","Tashkent city and Navbahor divisions are coded for this project since the transmission stations built were in these divisions with the Navoi station in Navbahor divison and the Keles and Sayilgoh stations in Tahskent city division. The exact locations of the transmission statiosn for Navoi station can be found on page 7 of the pdf from the first source and the exact location of the Keles station can be found on page 4 of the second source under its Russian name КЕЛЕС. (Navbahor)","good","district",65.33,40.12,"Navbahor","District","UZB.9.3_1","Uzbekistan"
