"","project_id","title","description","GEO_sources","level","X","Y","name","name_type","GID","country"
"65",34512,"China cancels £9.6 millions of Afghanistan’s outstanding debt obligations (Linked to Project ID #34505)","In March 2004, the Chinese Government agreed to cancel 9.6 million British pounds (or approximately $18.8 million) of the Government of Afghanistan's outstanding debt obligations. These debt obligations were originally contracted by the Afghan government in 1965. 

This act of debt forgiveness likely covered the bulk of the Government of Afghanistan’s outstanding debt obligations to China from 2002 to 2010, which were worth $19.5 million. 

STAFF_NOTE: This project may be linked to Project ID#34505, which captures a 2002 commitment by the Chinese Government to write off all of Afghanistan's outstanding debt obligations.
","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"66",53739,"China provides Afghanistan Official Equipment","On October 8, 2012, the signing ceremony of Chinese office equipment donation to Afghanistan was held in Afghanistan Ministry of Foreign Affairs. The value or the detailed content of the grant is not specified.  According to Mahmud, the third Chief Secretary for Politics of Afghans Ministry of Foreign Affairs (外交部第三政治司司长马赫穆德), this grant will significantly improve Afghans government working conditions and improve efficiency. 

This project is not the duplicate of #53740, as the items handed over are landscaping supplies, not office supplies, or #37898, as the signing dates are different.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"67",34642,"150 million RMB to Afghanistan Ministry of Finance","On 8 June 2012, at the annual summit of the Shanghai Cooperation Organization (SCO), China announced its plan to provide 150 million Chinese Yuan in grant to the Afghan Ministry of Finance. Based on an interview with Chinese Deputy Foreign Minister Fu Yings, this was the second 150 million CNY-grant that was offered by China. The agreement to provide the first 150 million CNY worth of grant was signed on 31 December 2011 (See Project ID#34601). Minister Fu Yings also said that China and Afghanistan would identify projects that could use the grant. A Joint Declaration between The People's Republic of China and The Islamic Republic of Afghanistan on Establishing Strategic and Cooperative Partnership was then released on June 16 2012 which stated that both sides will 'continually strengthen the pragmatic cooperation in such fields as resources and energy development, infrastructure development, engineering and agriculture'. It was also suggested that the grant will be going to 'peaceful reconstruction process'. STAFF_NOTE: This project was initially coded as being a duplicate of ID #34601, however, according to information published on the website of China's ECCO in Kabul, 150 million CNY assistance packages were pledged consecutively in 2011 and 2012. Furthermore, it was mentioned in the CSIS report that China's grant to Afghanistan from 2002 to 2010 is about US$205.3 million while the report by the 'Diplomat' has mentioned that the total amount of grant from 2002 to 2011 is about US$250 million. The reports show that there is at least 150 million CNY that was provided to Afghanistan in 2011, and the 150 million CNY that was offer in 2012 is referring to a separate pledge made by China. Last, the article by Reuters suggest that China's offer of 150 million CNY was part of the strategic partnership agreement signed in 2012, thus further distinguishing this offer of 150 million CNY in aid in 2012 from the one made in 2011.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"68",53644,"China donates $1 million USD to UN World Food Programme for food aid in Afghanistan (Linked to Umbrella Project #53639)","According to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) Financial Tracking Service (flow ID #164321), on 23 August 2017, the Chinese government committed a $1 million USD donation to the World Food Programme (WFP) for emergency 'food and nutrition assistance to vulnerable returnees and refugees in Eastern Afghanistan and people displaced by conflict.' A WFP press release from 16 October 2017 as well as a 2017 annual report (p. 27) confirms this donation as fully paid. According to Xinhua reporting, this is the first time that China and WFP have cooperated in Afghanistan and it is part of a larger $21 million USD food aid project sponsored by the Chinese government (umbrella project #53639). This donation to WFP is distinct from another $1 million USD donation to UNHCR captured in project #56333. STAFF_NOTE: The first batch of aid under umbrella project #53639 was worth 50 million RMB or about $7 million USD-- much more than this $1 million USD donation.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"69",56924,"Chinese Embassy in Afghanistan donated $5,000 for flood-related humanitarian aid (Linked to project #34522)","China donated $55,000 to Afghanistan for flood and avalanche relief. The Chinese Red Cross Society contributed $50,000 and the Chinese Embassy in Afghanistan contributed $5,000. The cash was handed over to Fatima Gailani, the Head of the Afghan Red Crescent Society by Chinese ambassador to Afghanistan Yang Houlan at the Chinese Embassy on April 2, 2007. The project captures the donation by Chinese embassy; for the donation by Red Cross Society of China, see project #34522.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"70",34514,"China grants $1 million in material assistance for Afghan elections","On 31 March 2004, at the International Conference on Afghanistan, Li Zhaoxing, Foreign Minister of the People's Republic of China, announced plans to offer material assistance worth US$1 million to Afghanistan for its elections. This include tents, photocopiers, and lighting equipment. The aid is aligned with China's position to prioritize election in Afghanistan, as evidenced from Minister Li's statement at the High-level ad-hoc Meeting on Afghanistan on 19 April 2004. The aid is to arrive in Afghanistan at the end of September 2004. At the Security Council session on 25 August 2004, Ambassador Zhang Yishan mentioned in his statement that the aid material will be 'on the ground' in Afghanistan by the end of September 2004.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"71",34526,"China provides 80 million Yuan in Grant to Afghanistan for reconstruction after war","On 31 January 2006, at the London Conference on Afghanistan, Chinese Foreign Minister Li Zhaoxing announced that China would provide 80 million Chinese Yuan in grant assistance to Afghanistan. The pledge was reaffirmed in a 'Joint Statement Between The People's Republic of China And The Islamic Republic of Afghanistan' on 20 June 2006 and again on 15 September 2006 Chinese Premier Wen Jiabao at the fifth prime ministers' meeting of the Shanghai Cooperation Organization (SCO). In an overview report by China Economic and Commercial Counsellor's Office, Afghanistan, the grant was provided to Afghanistan in 2006. The grant will used for the implementation of different projects to aid the reconstruction of the country. According to the News of the Communist Party of China, the project is completed. STAFF_NOTE: This project is reactivated. This is not a duplicate for #38972. From the source detected, China actually provided 80 million Yuan to Afghanistan in 2006 (#34526) and another 80 million Yuan in 2007 (#38972), and another one in 2008.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"72",54773,"Chinese Embassy Supports Afghan Olympic Delegation","In October 2016, it was reported by the Chinese Embassy that they had provided financial assistance to the Afghan Delegation to Rio de Janeiro for the 2015 Olympics. Staff_Note: Further information on the amount of financial assistance required.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"73",53703,"China provides Afghanistan 50 Government Scholarships annually(Linked to #37861 and #53641)","Starting in 2011, China agrees to provide Afghanistan 100 government scholarships each year to allow Afghans to study in China. The number of scholarships increased to 500 in 4 years in 2014 (See project #37861) and additional 50 annually in 2016 (#53641).","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"74",34721,"2nd U.S.-China joint training program for Afghan diplomats (Linked to Project ID#34645, #72546)","In September, 2013 the second U.S.-China Joint training program for Afghan diplomats began. This project was organized by the Chinese government and the U.S. Department of State. The program involved 12 entry-level diplomats who listened to lectures on diplomacy, public communication, and embassy management. Two weeks of the program took place in the United States and two weeks took place in Beijing later in the year. This is an annually recurring project with the third and most recent training visit in October, 2014.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"75",72547,"China government provided scholarships and equipment for Afghanistan women","In 2017, China government offered training opportunities in China for 104 Afghan women professionals in different fields, and 3 excellent female students were awarded the Chinese Government Scholarship and are studying in China. Also, Chinese Embassy donated fitness equipments for Afghan Ministry of Women Affairs, beds and toys for girls in kindergarten of Ministry of Foreign Affairs.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"76",53628,"China donates office equipment to Afghan government","On November 14, 2016, the handover ceremony of office equipment granted by Chinese government to the Afghan government was held by Afghan Chief Executive Office. Afghan Chief Executive Abdullah Abdullah and Chinese Ambassador Yao Jing attended the ceremony.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
